,Return,Std Dev,Symbol(Name)
NVDA.O,62.15,45.01,NVDA.O (엔비디아)
TSLA.O,68.56,56.22,TSLA.O (테슬라)
AAPL.O,52.34,87.37,AAPL.O (애플)
AMZN.O,35.16,32.57,AMZN.O (아마존닷컴)
SMCI.O,56.01,56.01,SMCI.O (슈퍼 마이크로 컴퓨터)
MSFT.O,27.14,25.71,MSFT.O (마이크로소프트)
UNH,26.21,25.03,UNH (유나이티드헬스 그룹)
AVGO.O,41.99,34.7,AVGO.O (브로드컴)
NKE,15.33,27.88,NKE (나이키)
AMD.O,45.37,55.98,AMD.O (어드밴스드 마이크로 디바이시스(AMD))
META.O,33.88,40.05,META.O (메타 플랫폼스)
MRK,11.43,20.49,MRK (머크 앤 코)
GOOGL.O,26.11,27.19,GOOGL.O (알파벳 Class A)
MU.O,35.17,46.35,MU.O (마이크론 테크놀로지)
ACN,19.06,24.22,ACN (액센추어)
GOOG.O,24.79,27.95,GOOG.O (알파벳 Class C)
ABBV.K,18.73,26.35,ABBV.K (애브비)
V,24.11,24.78,V (비자)
ORCL.K,17.74,26.67,ORCL.K (오라클)
TMO,22.38,24.53,TMO (써모 피셔 사이언티픽)
CRWD.O,71.78,58.39,CRWD.O (크라우드 스트라이크 홀딩스)
CRM,26.72,36.16,CRM (세일즈포스)
QCOM.O,19.7,32.9,QCOM.O (퀄컴)
JPM,16.77,27.48,JPM (제이피모간체이스)
LLY,29.83,24.67,LLY (일라이 릴리)
CAT,17.06,28.62,CAT (캐터필러)
XOM,8.31,25.32,XOM (엑슨 모빌)
ADBE.O,30.43,31.93,ADBE.O (어도비)
LOW,23.07,27.58,LOW (로우스 컴퍼니)
BRKb,14.34,19.09,BRKb (버크셔 해서웨이 Class B)
DE,18.64,27.74,DE (디어 앤 코)
NFLX.O,47.41,49.95,NFLX.O (넷플릭스)
MCD,11.63,18.64,MCD (맥도날드)
HD,22.74,23.21,HD (홈디포)
DIS,11.71,26.12,DIS (월트 디즈니)
CEG.O,87.01,39.13,CEG.O (콘스텔레이션 에너지)
BAC,13.35,33.61,BAC (뱅크오브아메리카)
HUM,21.22,29.57,HUM (휴마나)
TGT,12.35,27.88,TGT (타겟)
APH,23.78,24.32,APH (암페놀)
TT,38.01,31.7,TT (트레인 테크놀로지)
KKR,25.27,34.44,KKR (KKR & Co)
WFC,10.46,29.47,WFC (웰스파고)
MA,28.59,27.21,MA (마스터카드)
COST.O,24.48,20.33,COST.O (코스트코 홀세일)
CTAS.O,30.78,24.7,CTAS.O (신타스)
CVX,9.66,27.08,CVX (셰브론)
GS,13.19,28.11,GS (골드만삭스)
TXN.O,20.07,26.69,TXN.O (텍사스 인스트루먼트)
NEE,35.67,85.51,NEE (넥스트에라 에너지)
MAR.O,21.78,30.75,MAR.O (메리어트 인터내셔널)
PYPL.O,13.21,38.17,PYPL.O (페이팔 홀딩스)
LMT,16.38,20.9,LMT (록히드 마틴)
TDG,35.82,31.24,TDG (트랜스다임 그룹)
UBER.K,28.7,54.29,UBER.K (우버 테크놀로지스)
VST,34.65,34.9,VST (비스트라 에너지)
JNJ,7.99,16.83,JNJ (존슨앤드존슨)
PG,8.83,17.21,PG (프록터 & 갬블)
VRTX.O,31.64,44.02,VRTX.O (버텍스 파마슈티컬)
AMAT.O,31.66,36.03,AMAT.O (어플라이드 머티어리얼즈)
CMCSA.O,14.27,24.14,CMCSA.O (컴캐스트)
MMC,19.33,19.77,MMC (마쉬 앤 맥레넌 컴퍼니)
PEP.O,8.63,17.26,PEP.O (펩시코)
PSX,18.75,33.49,PSX (필립스 66)
PH,22.04,29.75,PH (파커-하니핀)
PANW.O,44.59,44.82,PANW.O (팔로 알토 네트웍스)
FSLR.O,19.4,53.21,FSLR.O (퍼스트 솔라)
TJX,21.99,24.95,TJX (TJX 컴퍼니스)
RTX,22.88,29.16,RTX (RTX)
CMG,32.19,34.27,CMG (치폴레 멕시칸 그릴)
ISRG.O,25.84,31.62,ISRG.O (인튜이티브 서지컬)
GE,7.8,32.13,GE (제너럴 일렉트릭)
CPRT.O,20.56,31.54,CPRT.O (코파트)
CHTR.O,20.47,29.35,CHTR.O (차터 커뮤니케이션)
NOW,44.73,40.68,NOW (서비스나우)
SPGI.K,25.28,25.36,SPGI.K (S&P 글로벌)
LRCX.O,40.39,37.81,LRCX.O (램 리서치)
HCA,26.13,33.82,HCA (HCA 헬스케어)
CME.O,14.04,24.47,CME.O (CME 그룹)
INTC.O,8.01,30.53,INTC.O (인텔)
FDX,15.44,29.66,FDX (페덱스)
BKNG.O,30.13,32.45,BKNG.O (부킹 홀딩스)
A,18.74,28.47,A (애질런트 테크놀로지스)
WMT,7.36,26.15,WMT (월마트)
C,9.25,33.53,C (씨티그룹)
ROST.O,23.58,29.22,ROST.O (로스 스토어스)
MCHP.O,20.46,33.34,MCHP.O (마이크로칩 테크놀러지)
DG,15.79,26.94,DG (달러 제너럴)
WELL.K,11.1,29.09,WELL.K (웰타워)
ROK,17.72,29.83,ROK (로크웰 오토메이션)
PCAR.O,12.07,27.58,PCAR.O (파카)
DHR,19.76,22.91,DHR (다나허)
INTU.O,28.17,29.09,INTU.O (인튜이트)
IQV,20.02,27.77,IQV (아이큐비아 홀딩스)
VZ,4.94,18.54,VZ (버라이존 커뮤니케이션스)
CSCO.O,9.03,25.97,CSCO.O (시스코 시스템즈)
CARR.K,43.81,33.08,CARR.K (캐리어 글로벌)
KO,8.08,17.07,KO (코카콜라)
AMGN.O,16.84,24.1,AMGN.O (암젠)
LIN.O,22.69,25.73,LIN.O (린드)
SYY,10.24,26.42,SYY (시스코)
EW,23.95,32.07,EW (에드워즈 라이프사이언시스)
BA,14.79,35.84,BA (보잉)
CL,8.03,17.96,CL (콜게이트-팜올리브)
LULU.O,31.72,40.18,LULU.O (룰루레몬 애슬레티카)
KVUE.K,-26.5,24.93,KVUE.K (켄뷰)
SBUX.O,17.87,26.51,SBUX.O (스타벅스)
HON.O,-0.19,20.22,HON.O (허니웰 인터내셔널)
HSY,11.82,20.07,HSY (허쉬)
ANET.K,51.29,43.5,ANET.K (아리스타 네트웍스)
T,2.35,20.86,T (AT&T)
CNC,27.79,35.78,CNC (센틴)
MTD,23.89,27.31,MTD (메틀러 톨레도 인터내셔널)
PFE,7.16,21.82,PFE (화이자)
LVS,12.47,37.94,LVS (라스베이거스 샌즈)
ELV,9.99,23.55,ELV (엘레반스 헬스)
CCI,9.94,23.52,CCI (크라운 캐슬)
TMUS.O,28.39,34.41,TMUS.O (T-모바일 US)
UPS,8.87,23.01,UPS (유나이티드 파셀 서비스)
AXP,17.46,28.61,AXP (아메리칸 익스프레스)
VLTO.K,21.35,27.96,VLTO.K (베랄토)
RSG,16.08,18.74,RSG (리퍼블릭 서비스)
MS,16.68,33.78,MS (모간스탠리)
CI,23.15,28.52,CI (시그나)
EQIX.O,22.77,29.17,EQIX.O (이퀴닉스)
ABT,13.97,21.65,ABT (애보트 래보라토리)
HLT,20.78,28.64,HLT (힐튼 월드와이드 홀딩스)
BMY,6.28,22.89,BMY (브리스톨-마이어스 스큅)
CVS,8.17,24.34,CVS (CVS 헬스)
PGR,21.48,22.41,PGR (프로그레시브)
KMI,0.99,29.22,KMI (킨더 모건)
GIS,6.01,19.25,GIS (제너럴 밀즈)
