Cluster,Symbol,Name,Return,Std Dev
0,480040,ACE 미국반도체15%프리미엄분배(합성),231.14,25.96
1,465610,ACE 미국빅테크TOP7 Plus레버리지(합성),214.78,45.94
2,483280,KODEX 미국AI테크TOP10+15%프리미엄,196.24,17.09
2,483330,ACE 마이크로소프트밸류체인액티브,186.49,21.05
2,483570,KCGI 미국S&P500 TOP10,184.75,13.37
3,473490,KOSEF 글로벌AI반도체,164.68,33.78
3,475310,SOL 반도체후공정,160.87,38.31
3,461910,ARIRANG 미국테크10레버리지iSelect(합성),159.37,38.36
4,486290,TIGER 미국나스닥100+15%프리미엄초단기,153.69,15.84
4,482870,HANARO 주주가치성장코리아액티브,162.54,10.78
5,469150,ACE AI반도체포커스,137.37,34.32
5,469060,KBSTAR 미국반도체NYSE,122.16,27.38
6,456600,TIMEFOLIO 글로벌AI인공지능액티브,105.44,26.61
6,476070,KODEX 글로벌비만치료제TOP2 Plus,98.95,29.36
6,480310,TIGER 글로벌온디바이스AI,110.0,26.65
6,469050,KBSTAR 미국반도체NYSE(H),109.25,29.51
6,479620,SOL 미국AI반도체칩메이커,100.47,32.11
6,481180,SOL 미국AI소프트웨어,101.4,19.63
6,475070,KoAct 글로벌기후테크인프라액티브,95.81,30.22
6,473590,ACE 미국주식베스트셀러,98.1,23.17
6,464060,HANARO 글로벌반도체TOP10 SOLACTIVE,97.0,28.85
7,423920,TIGER 미국필라델피아반도체레버리지(합성),90.12,57.84
7,471990,KODEX AI반도체핵심장비,86.74,38.75
7,453820,KODEX 인도Nifty50레버리지(합성),83.67,47.51
8,446770,ACE 글로벌반도체TOP4 Plus SOLACTIVE,91.45,25.99
8,474220,TIGER 미국테크TOP10+10%프리미엄,93.94,15.75
8,465580,ACE 미국빅테크TOP7 Plus,79.32,20.62
8,471760,TIGER AI반도체핵심공정,87.76,34.66
8,466950,TIGER 글로벌AI액티브,90.44,25.4
8,472160,TIGER 미국테크TOP10 INDXX(H),90.54,20.38
8,465660,TIGER 일본반도체FACTSET,81.98,29.5
8,471040,KoAct 글로벌AI&로봇액티브,86.54,22.95
8,473460,KODEX 미국서학개미,86.65,20.48
8,446690,KODEX 아시아AI반도체exChina액티브,78.09,24.05
8,477490,에셋플러스 글로벌일등기업포커스10액티브,80.03,14.73
8,473640,HANARO 글로벌금채굴기업,82.36,31.22
9,455850,SOL AI반도체소부장,65.43,32.32
9,466940,TIGER 은행고배당플러스TOP10,61.3,25.35
9,479730,TIGER 인도빌리언컨슈머,71.69,22.33
9,449450,ARIRANG K방산Fn,58.39,28.97
9,474590,WOORI 반도체밸류체인액티브,68.82,28.07
9,442320,KBSTAR 글로벌원자력iSelect,54.26,28.67
9,466930,SOL 자동차TOP3플러스,58.93,26.05
9,453950,TIGER TSMC밸류체인FACTSET,67.16,22.89
9,461340,HANARO 글로벌생성형AI액티브,67.7,23.07
9,442580,ARIRANG 글로벌HBM반도체,68.72,28.34
9,467540,KOSEF 코스닥글로벌,62.24,31.02
10,448540,ACE 엔비디아채권혼합블룸버그,62.49,18.31
10,464930,TIGER 글로벌혁신블루칩TOP10,57.65,16.93
10,476690,TIGER 글로벌비만치료제TOP2Plus,68.38,15.92
10,480030,ACE 미국500 15%프리미엄분배(합성),65.64,9.13
10,476030,SOL 미국나스닥100,67.16,14.22
10,461900,ARIRANG 미국테크10iSelect,64.03,17.88
10,481340,KBSTAR 미국30년국채액티브,60.21,16.6
11,465350,KBSTAR 2차전지TOP10인버스(합성),68.67,48.2
11,418660,TIGER 미국나스닥100레버리지(합성),57.92,45.18
12,482730,TIGER 미국S&P500+10%프리미엄초단기,47.6,5.97
12,477730,KODEX 인도타타그룹,41.03,23.17
12,426030,TIMEFOLIO 미국나스닥100액티브,45.32,23.46
12,472170,TIGER 미국테크TOP10채권혼합,44.77,9.63
12,423170,SOL 한국형글로벌반도체액티브,45.74,24.05
12,464920,ARIRANG 일본반도체소부장Solactive,52.39,24.61
12,474800,KOSEF 미국원유에너지기업,41.69,17.04
12,469160,ACE 일본반도체,48.67,21.86
12,453080,KOSEF 미국나스닥100(H),48.61,16.47
12,463680,KODEX 미국S&P500테크놀로지,46.85,17.79
12,475350,KBSTAR 버크셔포트폴리오TOP10,44.34,11.66
12,463690,KODEX 미국S&P500커뮤니케이션,44.59,15.37
12,483030,KOSEF 미국블록버스터바이오테크의약품+,49.29,12.34
12,476310,KBSTAR 글로벌비만산업TOP2+,54.29,14.9
12,459790,히어로즈 미국성장기업30액티브,40.33,16.14
12,472720,TRUSTON 주주가치액티브,42.03,16.94
12,469790,KOSEF K-테크TOP10,50.3,18.73
13,314250,KODEX 미국빅테크10(H),35.83,29.66
13,390390,KODEX 미국반도체MV,41.42,27.93
13,466920,SOL 조선TOP3플러스,42.6,32.64
13,454320,HANARO CAPEX설비투자iSelect,42.11,28.31
13,434730,HANARO 원자력iSelect,36.26,28.65
13,243880,TIGER 200IT레버리지,34.77,43.83
13,461580,TIGER 코스닥글로벌,32.91,31.73
13,459370,SOL 유럽탄소배출권선물인버스ICE(H),38.23,37.67
14,453810,KODEX 인도Nifty50,35.05,13.45
14,453870,TIGER 인도니프티50,34.14,13.11
14,449190,KODEX 미국나스닥100(H),38.05,18.09
14,448300,TIGER 미국나스닥100TR(H),38.6,18.94
14,472150,TIGER 배당프리미엄액티브,38.62,13.76
14,481060,KODEX 미국30년국채+12%프리미엄(합성 H),33.73,10.95
14,433330,SOL 미국S&P500,27.39,13.9
14,464310,TIGER 글로벌AI&로보틱스 INDXX,27.97,17.92
14,449770,KOSEF 미국S&P500,36.75,11.82
14,441800,TIMEFOLIO Korea플러스배당액티브,35.62,16.54
14,453330,KBSTAR 미국S&P500(H),29.5,11.43
14,426020,TIMEFOLIO 미국S&P500액티브,36.35,18.08
14,435040,ACE 글로벌브랜드TOP10블룸버그,28.18,15.66
14,453650,KODEX 미국S&P500금융,33.61,14.95
14,478150,TIMEFOLIO 글로벌우주테크&방산액티브,27.27,12.41
14,444200,SOL KEDI메가테크액티브,33.07,20.71
14,449780,KOSEF 미국S&P500(H),28.74,12.89
14,453660,KODEX 미국S&P500경기소비재,31.64,17.78
14,459750,KBSTAR 글로벌주식분산액티브,27.54,11.62
14,452440,VITA 밸류알파액티브,32.65,14.05
14,462340,에셋플러스 글로벌다이나믹시니어액티브,30.57,11.65
15,381180,TIGER 미국필라델피아반도체나스닥,30.18,28.07
15,381170,TIGER 미국테크TOP10 INDXX,30.52,23.29
15,445290,KODEX K-로봇액티브,25.92,22.58
15,236350,TIGER 인도니프티50레버리지(합성),27.16,32.32
15,225040,TIGER 미국S&P500레버리지(합성 H),24.1,33.64
15,385510,KODEX K-신재생에너지액티브,28.32,29.03
15,287180,ARIRANG 미국나스닥테크,25.33,24.76
15,450910,SOL 코스닥150,28.28,29.42
15,196030,ACE 일본TOPIX레버리지(H),24.54,35.86
15,472350,1Q 차이나H(H),31.86,24.37
15,463250,TIGER 스페이스테크iSelect,28.5,30.43
15,433500,ACE 원자력테마딥서치,25.83,25.63
15,471780,TIGER 코리아테크액티브,30.41,21.0
15,461450,KODEX 코스닥글로벌,29.36,30.09
15,449690,TIGER 한중반도체(합성),26.93,20.43
15,459560,KODEX 테슬라밸류체인FactSet,27.99,22.02
15,450190,KODEX 한중반도체(합성),28.36,20.71
15,426410,ARIRANG 미국대체투자Top10MV,31.73,23.21
15,450120,KOSEF SK그룹대표주,30.63,21.65
15,419170,HANARO 미국메타버스iSelect,24.49,26.42
16,360750,TIGER 미국S&P500,20.73,14.7
16,133690,TIGER 미국나스닥100,22.43,18.24
16,379800,KODEX 미국S&P500TR,19.58,14.41
16,360200,ACE 미국S&P500,20.92,14.64
16,379810,KODEX 미국나스닥100TR,22.71,19.71
16,367380,ACE 미국나스닥100,26.31,19.89
