Cluster,Symbol,Name,Return,Std Dev
0,AAPL.O,애플,53.17,87.26
1,AMZN.O,아마존닷컴,35.13,32.55
1,CRM,세일즈포스,26.54,36.13
2,MSFT.O,마이크로소프트,27.21,25.7
2,UNH,유나이티드헬스 그룹,26.18,25.03
2,V,비자,24.15,24.76
2,HD,홈디포,23.07,23.22
3,JPM,제이피모간체이스,16.83,27.46
3,INTC.O,인텔,8.85,30.58
3,GS,골드만삭스,13.63,28.09
3,NKE,나이키,15.08,27.87
3,CVX,셰브론,9.59,27.05
3,CSCO.O,시스코 시스템즈,8.99,25.95
3,BA,보잉,14.76,35.81
3,WMT,월마트,7.52,26.13
3,CAT,캐터필러,17.08,28.59
3,AMGN.O,암젠,17.27,24.08
3,DIS,월트 디즈니,11.51,26.09
3,AXP,아메리칸 익스프레스,17.67,28.58
3,TRV,트래블러스 컴퍼니스,13.38,22.16
3,DOW,다우,8.19,36.54
4,MCD,맥도날드,11.57,18.64
4,MRK,머크 앤 코,11.65,20.49
4,IBM,인터내셔날 비지니스 머신,5.17,22.36
4,JNJ,존슨앤드존슨,8.16,16.81
4,PG,프록터 & 갬블,8.89,17.2
4,KO,코카콜라,8.07,17.06
4,VZ,버라이존 커뮤니케이션스,4.96,18.52
4,HON.O,허니웰 인터내셔널,0.05,20.16
4,MMM,쓰리엠 (3M),4.44,23.02
