Cluster,Symbol,Name,Return,Std Dev
0,580060,KB 레버리지 미국채 10년 ETN,315.39,14.1
0,580061,KB 미국채 30년 ETN,356.69,15.77
1,530102,삼성 인버스 2X 천연가스 선물 ETN C,270.32,124.59
1,570084,한투 블룸버그 인버스 2X 천연가스선물 ETN,300.49,120.22
1,580046,KB 블룸버그 인버스2X 천연가스선물 ETN(H),299.39,118.2
1,610054,메리츠 블룸버그 -2X 천연가스 선물 ETN(H),328.4,120.89
1,510029,대신 S&P 인버스 2X 천연가스 선물 ETN,299.26,119.63
1,700020,하나 블룸버그 -2X 천연가스 선물 ETN(H),311.8,120.0
2,520072,미래에셋 미국 AI TOP3 ETN,238.09,29.68
2,700023,하나 Solactive 2X US Tech Top 10 ETN(H),211.37,43.54
2,550088,N2 월간 레버리지 선진국 1등주 ETN,181.48,27.88
3,610078,메리츠 3X 레버리지 미국채30년 ETN,141.3,36.6
3,530115,삼성 레버리지 나스닥 100 ETN,144.33,28.65
3,520053,미래에셋 인버스 천연가스 선물 ETN(H),136.38,60.01
3,610044,메리츠 인버스 천연가스 선물 ETN(H),137.76,60.74
3,570102,한투 레버리지 나스닥100 ETN B,121.29,31.95
3,550089,N2 월간 레버리지 코스피 200 선물 ETN,149.98,29.4
4,530120,삼성 나스닥 100 ETN,115.89,14.06
4,580059,KB 미국채 10년 ETN,125.25,8.6
4,580063,KB 레버리지 미국채 10년 선물 ETN,146.97,8.08
5,530113,삼성 레버리지 S&P500 선물 ETN,64.35,19.7
5,580056,KB 일본 로보틱스 TOP 10 ETN,67.62,19.2
5,520063,미래에셋 -0.5X S&P500 VIX S/T선물 ETN(H),73.66,23.01
5,570100,한투 일본종합상사TOP5 ETN,74.2,22.47
5,500077,신한 인버스0.5X S&P500 VIX S/T선물 ETN,80.07,22.07
5,610075,메리츠 3X 레버리지 미국채10년 ETN,64.65,16.76
5,510039,대신 3X 레버리지 국채30년 ETN,78.99,32.56
5,530110,삼성 인버스 0.5X S&P500 VIX S/T선물 ETN,79.66,21.83
5,570089,한투 인버스 0.5X S&P500 VIX S/T 선물 ETN,78.96,21.17
5,760005,키움 INDXX 미국테크탑10 ETN,90.17,20.45
5,700022,하나 Solactive US Tech Top 10 ETN(H),83.37,21.05
5,700024,하나 -0.5X S&P500 VIX S/T 선물 ETN(H),71.76,21.54
5,550087,N2 선진국 1등주 ETN,69.35,12.81
5,580054,KB 인버스 2X 콩 선물 ETN,78.82,37.38
6,580019,KB 인버스 2X 항셍테크 선물 ETN,53.99,83.57
6,510026,대신 레버리지 코스닥 150 선물 ETN,74.52,59.56
6,530119,삼성 레버리지 항셍테크 ETN(H) B,98.76,56.71
6,530106,삼성 레버리지 코스닥150 선물 ETN,71.12,57.1
6,570081,한투 레버리지 코스닥150선물 ETN,73.18,58.55
6,580052,KB 인버스 2X 밀 선물 ETN,73.24,66.28
6,580034,KB 레버리지 FANG 플러스 ETN(H),88.25,59.23
6,520056,미래에셋 레버리지 코스닥150 선물 ETN,72.39,58.04
6,500071,신한 레버리지 코스닥 150 선물 ETN,71.03,55.55
6,700017,하나 레버리지 코스닥150 선물 ETN,73.15,57.03
6,580043,KB 레버리지 KOSDAQ 150 선물 ETN,74.07,57.42
7,580015,KB 레버리지 나스닥 100 ETN,40.53,42.25
7,520068,미래에셋 2X 홍콩H 선물 ETN,35.33,45.98
7,580016,KB 레버리지 S&P 500 선물 ETN(H),22.69,34.13
7,610061,메리츠 3X 레버리지 국채30년 ETN,26.33,40.79
7,530104,삼성 레버리지 코스피200 선물 ETN,48.98,32.88
7,520054,미래에셋 레버리지 코스피200 선물 ETN,49.01,33.01
7,570043,한투 레버리지 나스닥 100 ETN,53.4,45.67
7,500040,신한 레버리지 구리 선물 ETN,25.27,41.11
7,570022,한투 레버리지 S&P500 선물 ETN(H),30.52,38.41
7,500050,신한 레버리지 S&P500 선물 ETN,35.12,35.91
7,580039,KB 레버리지 KOSPI 200 선물 ETN,48.21,33.71
7,570054,한투 레버리지 유로스탁스50 ETN(H) B,26.22,36.39
7,500020,신한 레버리지 다우존스지수 선물 ETN(H),27.04,34.78
7,500069,신한 레버리지 코스피 200 선물 ETN,48.49,32.82
7,550041,N2 미국 IT TOP5 ETN(H),29.98,27.79
7,550044,N2 레버리지 S&P500 ETN,32.38,34.78
7,520065,미래에셋 -2X 미국채울트라30년 선물 ETN,32.41,38.07
7,550076,N2 US 500 월간레버리지 ETN(H),52.07,28.27
7,610040,메리츠 인버스 2X 미국채30년 ETN(H),27.82,34.92
8,570059,한투 레버리지 금 선물 ETN,25.36,26.15
8,520066,미래에셋 KRX금현물 Auto-KO-C 2810-01 ETN,38.59,15.38
8,520061,미래에셋 인도네시아 Top5 ETN,27.28,19.86
8,500037,신한 레버리지 금 선물 ETN,23.33,28.29
8,610070,메리츠 KAP 인버스 2X 일본 엔화 ETN,23.39,16.36
8,610074,메리츠 미국채10년 ETN,23.59,6.0
8,570051,한투 나스닥 100 ETN,23.16,21.12
8,570099,한투 S&P 인버스 2X 엔달러 선물 ETN(H),39.79,16.9
8,610077,메리츠 미국채30년 ETN,39.01,12.04
8,570096,한투 인버스 2X 일본 엔선물 ETN,22.66,15.06
8,530112,삼성 S&P500 ETN,36.54,9.92
8,530117,삼성 코스피 200 TR ETN,33.55,16.4
8,550086,N2 미국달러 SOFR금리 플러스 ETN,19.09,7.39
8,610025,메리츠 인버스 2X 미국채10년 ETN(H),20.42,18.18
8,760007,키움 코스피 200 TR ETN,29.62,17.56
8,570050,한투 S&P500 선물 ETN,20.18,15.16
8,550084,N2 코스피 200 TR ETN,28.1,16.33
8,500085,신한 코스피 200 TR ETN,38.24,14.22
8,550080,N2 US 500 ETN(H),25.78,11.71
9,500029,신한 레버리지 은 선물 ETN(H),20.88,58.26
9,530082,삼성 인버스 2X 항셍테크 ETN(H),17.21,79.6
9,530099,삼성 블룸버그 레버리지 WTI원유 선물 ETN,18.44,67.79
9,530061,삼성 레버리지 은 선물 ETN(H),37.84,62.56
9,580026,KB 레버리지 은 선물 ETN(H),25.59,58.19
9,510019,대신 인버스 천연가스 선물 ETN(H),22.42,64.28
9,580021,KB 인버스 천연가스 선물 ETN,15.62,63.1
9,570061,한투 레버리지 은 선물 ETN,30.72,55.14
9,520009,미래에셋 레버리지 원유선물혼합 ETN(H),22.5,78.08
9,550071,N2 블룸버그 2X WTI원유선물 ETN,17.57,66.6
9,570078,한투 블룸버그 레버리지 WTI원유 선물 ETN,19.44,68.94
9,510017,대신 2X 철광석 선물 ETN(H),16.73,79.24
9,610016,메리츠 레버리지 은 선물 ETN(H),26.36,59.04
9,500065,신한 블룸버그 레버리지 WTI원유 선물 ETN,18.85,68.31
9,700015,하나 S&P 레버리지 WTI원유 선물 ETN,19.03,68.28
