Cluster,Symbol,Name,Return,Std Dev
0,445090,에이직랜드,245.67,106.73
0,304360,에스바이오메딕스,235.43,102.54
1,257720,실리콘투,209.88,85.24
1,396470,워트,194.22,101.41
2,372320,큐로셀,164.04,88.11
2,425420,티에프이,164.98,81.31
3,403870,HPSP,148.63,66.69
3,310210,보로노이,144.55,78.53
4,443670,에스피소프트,125.43,136.74
4,451250,삐아,146.35,136.83
5,107640,한중엔시에스,132.53,109.9
5,388870,파로스아이바이오,134.91,98.92
6,101360,에코앤드림,112.25,100.68
6,211050,인카금융서비스,112.88,105.86
6,373200,엑스플러스,121.28,97.08
6,222160,NPX,122.45,104.79
7,277810,레인보우로보틱스,114.12,69.2
7,114840,아이패밀리에스씨,117.5,60.4
8,479880,한국제15호스팩,110.53,5.66
8,477530,한국제14호스팩,115.61,5.6
9,196170,알테오젠,102.89,68.79
9,328130,루닛,116.44,79.57
9,399720,가온칩스,110.24,81.74
9,394280,오픈엣지테크놀로지,105.99,83.09
10,478440,미래에셋비전스팩6호,99.81,5.14
10,478390,KB제29호스팩,84.45,8.2
10,477470,미래에셋비전스팩5호,88.56,10.75
11,389020,자람테크놀로지,97.78,93.47
11,425040,티이엠씨,85.27,110.5
11,270660,에브리봇,86.48,97.97
11,366030,공구우먼,88.59,94.03
11,383930,디티앤씨알오,91.23,97.3
12,159910,스킨앤스킨,87.86,261.69
13,247540,에코프로비엠,92.72,60.37
13,348370,엔켐,89.63,77.71
13,352480,씨앤씨인터내셔널,86.09,56.06
13,058970,엠로,81.64,74.17
13,199800,툴젠,83.8,73.2
13,397030,에이프릴바이오,78.16,70.82
14,058450,한주에이알티,74.96,178.3
15,007390,네이처셀,72.59,84.97
15,323990,박셀바이오,78.41,92.52
15,402030,코난테크놀로지,62.97,87.94
15,388050,지투파워,68.19,88.37
15,393210,토마토시스템,74.97,86.4
15,189330,씨이랩,78.56,92.19
15,032685,소프트센우,70.24,87.94
16,028300,HLB,70.9,74.2
16,372170,윤성에프앤씨,72.99,71.31
16,094360,칩스앤미디어,66.72,63.6
16,348340,뉴로메카,65.94,75.92
16,126340,비나텍,68.2,70.96
16,353810,이지바이오,75.32,65.62
16,277880,티에스아이,69.58,72.93
16,436610,한국제11호스팩,69.13,66.11
17,290690,소룩스,57.62,92.7
17,416180,신성에스티,66.44,102.1
17,356680,엑스게이트,67.37,95.96
17,234100,폴라리스세원,54.51,96.29
17,148780,비큐AI,62.97,108.63
17,210120,빅텐츠,60.99,99.09
17,198940,한주라이트메탈,53.06,102.73
18,477340,에이치엠씨제7호스팩,59.88,5.1
18,477760,DB금융스팩12호,54.29,8.28
18,476470,KB제28호스팩,58.61,9.45
19,086520,에코프로,62.02,58.35
19,000250,삼천당제약,59.14,56.55
19,033100,제룡전기,51.31,58.92
19,281740,레이크머티리얼즈,67.48,55.82
19,140860,파크시스템스,58.39,45.37
19,166090,하나머티리얼즈,51.87,52.85
19,317330,덕산테코피아,54.68,63.92
19,335890,비올,55.63,45.81
19,253590,네오셈,60.2,58.99
19,179900,유티아이,53.26,61.53
19,122640,예스티,53.44,65.35
19,173130,오파스넷,56.92,60.08
20,420570,제이투케이바이오,56.8,137.86
20,109960,AP헬스케어,55.51,148.12
21,067630,HLB생명과학,54.98,76.13
21,383310,에코프로에이치엔,53.95,80.16
21,041190,우리기술투자,55.06,69.12
21,360070,탑머티리얼,57.47,76.83
21,294090,이오플로우,49.03,82.35
21,405100,큐알티,59.11,72.64
21,220260,켐트로스,46.74,77.74
21,389470,인벤티지랩,60.04,86.29
21,417500,제이아이테크,55.3,73.7
21,168360,펨트론,58.96,76.13
21,388790,라이콤,49.33,82.58
21,448710,코츠테크놀로지,57.67,85.12
21,260970,에스앤디,59.81,82.39
21,232680,라온테크,52.09,80.54
21,219420,링크제니시스,48.93,75.2
22,214150,클래시스,46.9,49.04
22,141080,리가켐바이오,45.45,59.37
22,035900,JYP Ent.,39.58,51.78
22,078600,대주전자재료,41.4,54.89
22,041510,에스엠,39.48,51.02
22,067160,SOOP,40.15,55.5
22,204270,제이앤티씨,45.62,57.63
22,137400,피엔티,41.33,52.56
22,095340,ISC,41.66,52.73
22,232140,와이씨,44.97,54.45
22,319660,피에스케이,48.01,51.55
22,036810,에프에스티,43.7,56.2
22,348210,넥스틴,45.14,46.72
22,039440,에스티아이,49.58,55.79
22,340570,티앤엘,43.9,50.15
22,089890,코세스,43.9,56.36
22,083450,GST,40.51,48.9
23,417200,LS머트리얼즈,42.21,88.86
23,064090,웨스트라이즈,37.01,90.88
23,432720,퀄리타스반도체,50.47,97.37
23,016790,현대사료,44.64,90.86
23,424960,스마트레이더시스템,41.19,96.1
23,451220,아이엠티,38.95,96.62
23,200350,래몽래인,45.59,90.74
23,323350,다원넥스뷰,40.58,89.27
23,376180,피코그램,50.63,93.76
23,197140,디지캡,48.84,91.12
23,221800,유투바이오,43.01,95.13
23,123010,아이윈플러스,39.98,102.56
24,039200,오스코텍,49.35,64.8
24,087010,펩트론,44.63,67.38
24,298380,에이비엘바이오,40.28,65.98
24,064550,바이오니아,43.83,69.06
24,047920,HLB제약,48.32,71.47
24,136510,스마트솔루션즈,43.67,66.37
24,358570,지아이이노베이션,51.19,69.85
24,171090,선익시스템,44.92,70.04
24,256840,한국비엔씨,46.47,70.24
24,357550,석경에이티,46.59,62.12
24,270520,지오릿에너지,43.91,65.81
24,052020,에스티큐브,39.67,76.69
24,307750,국전약품,46.0,68.52
24,024850,HLB이노베이션,39.59,73.49
24,109610,에스와이,46.03,71.73
24,322510,제이엘케이,41.81,72.5
24,112290,와이씨켐,42.89,69.5
24,205470,휴마시스,43.79,76.33
24,362320,청담글로벌,40.44,72.46
24,297090,씨에스베어링,39.37,69.03
24,093640,케이알엠,40.9,70.26
24,311320,지오엘리먼트,40.34,69.57
24,368770,파이버프로,45.29,64.97
24,186230,그린플러스,41.06,65.83
24,320000,윈텍,44.03,66.14
24,094940,푸른기술,38.79,69.57
25,065350,신성델타테크,41.24,59.35
25,121600,나노신소재,41.15,57.85
25,018290,브이티,35.08,61.86
25,009520,포스코엠텍,38.67,57.09
25,080220,제주반도체,41.27,60.5
