,Return,Std Dev,Symbol(Name)
AMZN.O,34.5,32.54,AMZN.O (아마존닷컴)
UNH,27.06,25.1,UNH (유나이티드헬스 그룹)
INTC.O,8.5,30.59,INTC.O (인텔)
V,24.11,24.75,V (비자)
JPM,17.01,27.47,JPM (제이피모간체이스)
AXP,17.78,28.58,AXP (아메리칸 익스프레스)
CRM,26.27,36.11,CRM (세일즈포스)
PG,8.94,17.2,PG (프록터 & 갬블)
JNJ,8.4,16.84,JNJ (존슨앤드존슨)
CAT,17.36,28.61,CAT (캐터필러)
CVX,9.76,27.04,CVX (셰브론)
GS,13.7,28.1,GS (골드만삭스)
BA,14.63,35.8,BA (보잉)
KO,8.25,17.05,KO (코카콜라)
MCD,11.66,18.64,MCD (맥도날드)
HD,23.12,23.22,HD (홈디포)
DIS,11.38,26.08,DIS (월트 디즈니)
MRK,11.51,20.49,MRK (머크 앤 코)
WMT,7.67,26.12,WMT (월마트)
NKE,14.98,27.87,NKE (나이키)
VZ,4.99,18.52,VZ (버라이존 커뮤니케이션스)
IBM,5.18,22.35,IBM (인터내셔날 비지니스 머신)
AMGN.O,17.26,24.07,AMGN.O (암젠)
TRV,13.08,22.25,TRV (트래블러스 컴퍼니스)
HON.O,-0.01,20.14,HON.O (허니웰 인터내셔널)
MMM,4.43,23.01,MMM (쓰리엠 (3M))
DOW,8.55,36.51,DOW (다우)
