Cluster,Symbol,Name,Return,Std Dev
0,457190,이수스페셜티케미컬,200.25,111.82
1,580060,KB 레버리지 미국채 10년 ETN,183.78,14.1
1,580061,KB 미국채 30년 ETN,190.53,16.37
2,700023,하나 Solactive 2X US Tech Top 10 ETN(H),194.19,43.6
2,465610,ACE 미국빅테크TOP7 Plus레버리지(합성),178.35,46.05
3,520072,미래에셋 미국 AI TOP3 ETN,165.37,29.36
3,484880,SOL 금융지주플러스고배당,171.72,20.46
4,454910,두산로보틱스,156.66,81.15
5,610044,메리츠 인버스 천연가스 선물 ETN(H),143.07,60.67
5,520053,미래에셋 인버스 천연가스 선물 ETN(H),141.69,59.97
6,480020,ACE 미국빅테크7+ 15%프리미엄분배(합성),135.59,23.38
6,480040,ACE 미국반도체15%프리미엄분배(합성),146.27,26.54
6,461910,ARIRANG 미국테크10레버리지iSelect(합성),140.68,38.75
7,483420,ACE 애플밸류체인액티브,121.47,28.65
7,473490,KOSEF 글로벌AI반도체,129.93,33.71
7,530115,삼성 레버리지 나스닥 100 ETN,124.82,28.83
7,610078,메리츠 3X 레버리지 미국채30년 ETN,124.96,35.64
8,481850,신한글로벌액티브리츠,117.83,20.07
8,481190,SOL 미국테크TOP10,111.78,18.84
8,479850,HANARO K-뷰티,115.94,27.55
9,469150,ACE AI반도체포커스,101.91,33.8
9,469050,RISE 미국반도체NYSE(H),97.14,29.29
9,469060,RISE 미국반도체NYSE,109.39,27.29
9,473590,ACE 미국주식베스트셀러,106.51,24.2
9,473640,HANARO 글로벌금채굴기업,108.25,31.19
10,530122,삼성 인버스 2X 항셍테크 ETN(H) B,103.58,50.01
11,580063,KB 레버리지 미국채 10년 선물 ETN,99.5,6.95
11,580059,KB 미국채 10년 ETN,90.43,7.19
12,446770,ACE 글로벌반도체TOP4 Plus SOLACTIVE,85.5,26.07
12,456600,TIMEFOLIO 글로벌AI인공지능액티브,94.01,26.52
12,550089,N2 월간 레버리지 코스피 200 선물 ETN,85.85,29.36
12,760005,키움 INDXX 미국테크탑10 ETN,84.88,20.54
12,473460,KODEX 미국서학개미,92.51,21.61
12,464060,HANARO 글로벌반도체TOP10 SOLACTIVE,83.31,29.16
13,336370,솔루스첨단소재,85.51,67.6
13,423920,TIGER 미국필라델피아반도체레버리지(합성),88.24,57.79
13,580034,KB 레버리지 FANG 플러스 ETN(H),80.7,59.11
13,580052,KB 인버스 2X 밀 선물 ETN,94.78,66.5
14,476070,KODEX 글로벌비만치료제TOP2 Plus,77.79,28.9
14,453820,KODEX 인도Nifty50레버리지(합성),85.17,46.45
