Cluster,Symbol,Name,Return,Std Dev
0,ENPH.O,인페이즈 에너지,72.43,80.39
0,MRNA.O,모더나,80.88,72.89
1,CEG.O,콘스텔레이션 에너지,74.53,39.55
1,BLDR.K,빌더스 퍼스트소스,76.72,45.09
1,HWM,하우멧 에어로스페이스,64.7,39.46
2,NVDA.O,엔비디아,60.89,45.06
2,TSLA.O,테슬라,69.65,56.38
2,SMCI.O,슈퍼 마이크로 컴퓨터,54.22,55.99
2,CRWD.O,크라우드 스트라이크 홀딩스,58.27,58.62
3,AVGO.O,브로드컴,40.76,34.86
3,NOW,서비스나우,45.15,40.82
3,NFLX.O,넷플릭스,46.43,49.84
3,LRCX.O,램 리서치,38.32,37.96
3,ANET.K,아리스타 네트웍스,49.54,43.48
3,URI,유나이티드 렌탈스,50.35,44.53
3,PANW.O,팔로 알토 네트웍스,41.36,44.38
3,MPWR.O,모놀리식 파워 시스템즈,41.79,40.2
3,REGN.O,리제네론 파마슈티컬스,40.48,37.29
3,CARR.K,캐리어 글로벌,44.94,33.12
3,FTNT.O,포티넷,39.59,41.12
3,FICO.K,페어 아이작,42.53,34.04
3,PAYC.K,페이콤 소프트웨어,40.38,46.48
4,AAPL.O,애플,52.39,87.15
4,NEE,넥스트에라 에너지,35.95,85.32
4,CZR.O,시저스 엔터테인먼트,38.65,84.87
5,AMD.O,어드밴스드 마이크로 디바이시스(AMD),43.72,56.0
5,DXCM.O,덱스컴,33.18,51.89
5,ETSY.O,엣시,28.92,59.47
5,FANG.O,다이아몬드백 에너지,38.52,48.38
5,APA.O,APA (US),34.8,54.1
6,AMZN.O,아마존닷컴,34.42,32.53
6,CMG,치폴레 멕시칸 그릴,29.92,34.28
6,ADBE.O,어도비,30.03,31.88
6,AMAT.O,어플라이드 머티어리얼즈,30.35,36.18
6,BKNG.O,부킹 홀딩스,29.35,32.43
6,KLAC.O,KLA,36.19,35.27
6,CDNS.O,케이던스 디자인 시스템즈,36.39,29.98
6,DHI,D R 호턴,30.42,35.81
6,ODFL.O,올드 도미니언 프라이트 라인,30.72,32.95
6,TT,트레인 테크놀로지,37.43,31.68
6,TYL,타일러 테크놀로지스,34.86,28.78
6,DPZ,도미노 피자,33.95,29.33
6,VLTO.K,베랄토,33.98,27.55
6,VST,비스트라 에너지,31.35,35.32
6,TDG,트랜스다임 그룹,35.3,31.21
6,TTWO.O,테이크-투 인터랙티브 소프트웨어,29.19,34.83
6,CSGP.O,코스타 그룹,29.65,31.0
6,MKTX.O,마켓액세스 홀딩스,27.9,32.96
7,META.O,메타 플랫폼스,32.86,40.08
7,MU.O,마이크론 테크놀로지,33.28,46.34
7,DECK.K,덱커 아웃도어,34.78,42.41
7,LULU.O,룰루레몬 애슬레티카,30.08,40.19
7,ON.O,온 세미콘덕터,30.37,44.55
7,NXPI.O,NXP 세미콘덕터,34.25,42.17
7,MOH,몰리나 헬스케어,32.6,39.43
7,VRTX.O,버텍스 파마슈티컬,31.96,43.9
7,ULTA.O,울타 뷰티,30.62,37.94
7,PODD.O,인슐릿,30.02,40.98
7,PHM,풀티 그룹,30.86,39.25
7,ALGN.O,얼라인 테크놀로지,34.56,45.87
7,GNRC.K,제네락 홀딩스,29.67,43.06
7,AXON.O,액손 엔터프라이스,28.32,42.27
7,EPAM.K,이팸 시스템즈,37.28,43.87
8,MSFT.O,마이크로소프트,26.55,25.71
8,GOOGL.O,알파벳 Class A,25.21,27.21
8,LLY,일라이 릴리,28.62,24.75
8,UNH,유나이티드헬스 그룹,27.09,25.09
8,MA,마스터카드,28.37,27.17
8,RTX,RTX,26.18,29.22
8,INTU.O,인튜이트,27.69,29.08
8,ORLY.O,오레일리 오토모티브,29.37,25.37
8,ISRG.O,인튜이티브 서지컬,25.67,31.68
8,SPGI.K,S&P 글로벌,25.97,25.32
8,MCO,무디스,28.77,28.19
8,SNPS.O,시놉시스,30.15,26.31
8,WST,웨스트 파마슈티컬 서비시즈,26.08,27.51
8,POOL.O,풀,27.37,28.94
8,IDXX.O,아이덱스 래보라토리스,26.07,28.76
8,TSCO.O,트랙터 서플라이,26.79,28.78
8,MSCI.K,MSCI,28.24,30.1
8,CDW.O,CDW,30.42,27.9
8,STZ,컨스텔레이션 브랜즈,26.46,28.57
8,GEHC.O,GE HealthCare Technologies Inc,25.92,30.84
8,CTAS.O,신타스,31.39,24.7
8,IT,가트너,28.05,27.82
8,NVR,NVR,24.97,28.98
8,CPAY.K,콜페이,24.55,30.5
9,CRM,세일즈포스,26.77,36.11
9,CNC,센틴,28.56,35.81
9,TMUS.O,T-모바일 US,28.19,34.33
9,VLO,발레로 에너지,26.68,38.98
9,BX,블랙스톤,27.89,34.77
9,HCA,HCA 헬스케어,26.93,33.79
9,KKR,KKR & Co,26.2,34.4
9,CBRE.K,CBRE 그룹,22.55,33.72
9,LEN,레나 Class A,27.76,36.72
9,DAL,델타 에어라인스,23.5,38.98
9,BKR.O,베이커 휴즈,23.72,34.67
9,EA.O,일렉트로닉 아츠,23.52,31.78
9,TER.O,테라다인,28.22,37.6
9,STX.O,씨게이트 테크놀로지 홀딩스,25.23,40.63
9,MPC,매러선 페트롤리엄,27.76,39.72
9,ADSK.O,오토데스크,25.28,36.0
9,SWKS.O,스카이웍스 솔루션스,24.28,40.6
9,AMP,아메리프라이즈 파이낸셜,25.17,32.63
9,GDDY.K,고대디,27.41,34.89
9,EXPE.O,익스피디아그룹,25.33,41.61
