Cluster,Symbol,Name,Return,Std Dev
0,NVDA.O,엔비디아,60.89,45.06
0,AMD.O,어드밴스드 마이크로 디바이시스(AMD),43.72,56.0
0,ACLS.O,액셀리스 테크놀로지스,41.95,54.01
1,AVGO.O,브로드컴,40.76,34.86
1,MU.O,마이크론 테크놀로지,33.28,46.34
1,ASML.O,ASML 홀딩 ADR,34.41,34.53
1,AMAT.O,어플라이드 머티어리얼즈,30.35,36.18
1,LRCX.O,램 리서치,38.32,37.96
1,KLAC.O,KLA,36.19,35.27
1,ON.O,온 세미콘덕터,30.37,44.55
1,NXPI.O,NXP 세미콘덕터,34.25,42.17
1,MPWR.O,모놀리식 파워 시스템즈,41.79,40.2
1,TER.O,테라다인,28.22,37.6
1,ENTG.O,인테그리스,37.23,39.83
1,LSCC.O,래티스 세미컨덕터,32.27,47.91
2,MRVL.O,마벨 테크놀로지 그룹,20.13,41.67
2,SWKS.O,스카이웍스 솔루션스,24.28,40.6
2,ALGM.O,알레그로 마이크로시스템즈,21.12,46.68
2,COHR.K,코히런트,23.67,45.91
2,QRVO.O,코보,15.69,42.16
2,RMBS.O,램버스,21.19,44.57
2,GFS.O,글로벌파운드리,17.52,49.54
2,AMKR.O,앰코 테크놀로지,28.13,47.63
3,TSM,타이완 반도체 매뉴팩처링 ADR,27.1,29.69
3,INTC.O,인텔,8.11,30.6
3,QCOM.O,퀄컴,18.82,33.02
3,TXN.O,텍사스 인스트루먼트,20.3,26.7
3,ADI.O,애널로그 디바이시스,20.45,28.81
3,MCHP.O,마이크로칩 테크놀러지,19.95,33.39
4,WOLF.K,울프스피드,-20.85,74.29
