,Return,Std Dev,Symbol(Name)
NVDA.O,60.35,45.23,NVDA.O (엔비디아)
AMD.O,43.13,56.02,AMD.O (어드밴스드 마이크로 디바이시스(AMD))
INTC.O,5.57,31.4,INTC.O (인텔)
AVGO.O,39.98,35.23,AVGO.O (브로드컴)
TSM,26.41,29.8,TSM (타이완 반도체 매뉴팩처링 ADR)
MU.O,31.77,46.47,MU.O (마이크론 테크놀로지)
ASML.O,33.56,34.7,ASML.O (ASML 홀딩 ADR)
QCOM.O,17.86,33.23,QCOM.O (퀄컴)
AMAT.O,29.22,36.34,AMAT.O (어플라이드 머티어리얼즈)
LRCX.O,36.66,38.18,LRCX.O (램 리서치)
TXN.O,19.65,26.73,TXN.O (텍사스 인스트루먼트)
KLAC.O,35.05,35.46,KLAC.O (KLA)
ADI.O,19.73,28.87,ADI.O (애널로그 디바이시스)
MCHP.O,18.8,33.52,MCHP.O (마이크로칩 테크놀러지)
MRVL.O,19.28,41.75,MRVL.O (마벨 테크놀로지 그룹)
NXPI.O,33.62,42.22,NXPI.O (NXP 세미콘덕터)
ON.O,30.16,44.75,ON.O (온 세미콘덕터)
ENTG.O,35.17,39.93,ENTG.O (인테그리스)
TER.O,27.56,37.72,TER.O (테라다인)
SWKS.O,23.35,40.62,SWKS.O (스카이웍스 솔루션스)
QRVO.O,14.24,42.21,QRVO.O (코보)
COHR.K,22.18,46.05,COHR.K (코히런트)
LSCC.O,30.49,48.06,LSCC.O (래티스 세미컨덕터)
ACLS.O,40.5,54.13,ACLS.O (액셀리스 테크놀로지스)
RMBS.O,18.5,44.88,RMBS.O (램버스)
GFS.O,12.22,49.68,GFS.O (글로벌파운드리)
WOLF.K,-26.5,74.7,WOLF.K (울프스피드)
ALGM.O,19.34,46.89,ALGM.O (알레그로 마이크로시스템즈)
AMKR.O,25.76,47.97,AMKR.O (앰코 테크놀로지)
