,Return,Std Dev,Symbol(Name)
AAPL.O,52.39,87.09,AAPL.O (애플)
MSFT.O,26.16,25.7,MSFT.O (마이크로소프트)
NVDA.O,60.35,45.23,NVDA.O (엔비디아)
AMZN.O,33.62,32.61,AMZN.O (아마존닷컴)
META.O,33.32,40.08,META.O (메타 플랫폼스)
GOOGL.O,25.16,27.2,GOOGL.O (알파벳 Class A)
GOOG.O,23.57,27.95,GOOG.O (알파벳 Class C)
AVGO.O,39.98,35.23,AVGO.O (브로드컴)
TSLA.O,68.92,56.42,TSLA.O (테슬라)
COST.O,24.02,20.34,COST.O (코스트코 홀세일)
ASML.O,33.56,34.7,ASML.O (ASML 홀딩 ADR)
NFLX.O,46.06,49.81,NFLX.O (넷플릭스)
AZN.O,13.72,23.8,AZN.O (아스트라제네카 ADR)
PEP.O,9.17,17.27,PEP.O (펩시코)
ADBE.O,29.72,31.88,ADBE.O (어도비)
TMUS.O,28.82,34.33,TMUS.O (T-모바일 US)
LIN.O,23.02,25.57,LIN.O (린드)
AMD.O,43.13,56.02,AMD.O (어드밴스드 마이크로 디바이시스(AMD))
CSCO.O,8.84,25.92,CSCO.O (시스코 시스템즈)
QCOM.O,17.86,33.23,QCOM.O (퀄컴)
AMGN.O,17.28,24.05,AMGN.O (암젠)
PDD.O,69.1,74.38,PDD.O (핀둬둬 ADR)
INTU.O,27.51,29.07,INTU.O (인튜이트)
TXN.O,19.65,26.73,TXN.O (텍사스 인스트루먼트)
ISRG.O,25.8,31.68,ISRG.O (인튜이티브 서지컬)
CMCSA.O,14.34,24.15,CMCSA.O (컴캐스트)
AMAT.O,29.22,36.34,AMAT.O (어플라이드 머티어리얼즈)
SNY.O,7.08,23.94,SNY.O (사노피 ADR)
HON.O,-1.56,20.27,HON.O (허니웰 인터내셔널)
VRTX.O,31.9,43.88,VRTX.O (버텍스 파마슈티컬)
REGN.O,40.44,37.26,REGN.O (리제네론 파마슈티컬스)
ARM.O,180.87,91.06,ARM.O (암 홀딩스 ADR)
BKNG.O,28.38,32.5,BKNG.O (부킹 홀딩스)
ADP.O,17.98,21.98,ADP.O (오토매틱 데이터 프로세싱)
ADI.O,19.73,28.87,ADI.O (애널로그 디바이시스)
MU.O,31.77,46.47,MU.O (마이크론 테크놀로지)
LRCX.O,36.66,38.18,LRCX.O (램 리서치)
PANW.O,37.73,44.34,PANW.O (팔로 알토 네트웍스)
KLAC.O,35.05,35.46,KLAC.O (KLA)
INTC.O,5.57,31.4,INTC.O (인텔)
GILD.O,15.32,27.42,GILD.O (길리어드 사이언스)
MDLZ.O,11.94,19.97,MDLZ.O (몬덜리즈 인터내셔널)
MELI.O,41.85,47.13,MELI.O (메르카도리브레)
SBUX.O,17.58,26.6,SBUX.O (스타벅스)
ABNB.O,9.54,49.93,ABNB.O (에어비앤비)
SNPS.O,29.44,26.43,SNPS.O (시놉시스)
EQIX.O,23.17,29.13,EQIX.O (이퀴닉스)
CTAS.O,31.28,24.69,CTAS.O (신타스)
CME.O,14.08,24.42,CME.O (CME 그룹)
CDNS.O,36.02,30.04,CDNS.O (케이던스 디자인 시스템즈)
CSX.O,17.69,27.35,CSX.O (CSX)
ORLY.O,29.54,25.36,ORLY.O (오레일리 오토모티브)
PYPL.O,13.97,38.18,PYPL.O (페이팔 홀딩스)
NXPI.O,33.62,42.22,NXPI.O (NXP 세미콘덕터)
MAR.O,20.6,30.75,MAR.O (메리어트 인터내셔널)
NTES.O,63.68,115.83,NTES.O (넷이즈 ADR)
ROP.O,20.17,22.47,ROP.O (로퍼 테크놀로지스)
WDAY.O,22.03,38.51,WDAY.O (워크데이)
CEG.O,71.35,40.6,CEG.O (콘스텔레이션 에너지)
MRVL.O,19.28,41.75,MRVL.O (마벨 테크놀로지 그룹)
AEP.O,7.59,20.2,AEP.O (아메리칸 일렉트릭 파워 컴퍼니)
CHTR.O,22.36,29.69,CHTR.O (차터 커뮤니케이션)
CRWD.O,53.32,58.7,CRWD.O (크라우드 스트라이크 홀딩스)
COIN.O,27.73,88.34,COIN.O (코인베이스 글로벌)
ADSK.O,24.89,36.0,ADSK.O (오토데스크)
CPRT.O,20.04,31.48,CPRT.O (코파트)
PCAR.O,11.37,27.71,PCAR.O (파카)
DASH.O,6.94,63.13,DASH.O (도어대시)
IBKR.O,19.29,29.06,IBKR.O (인터랙티브 브로커스 그룹)
KDP.O,8.02,18.95,KDP.O (큐리그 닥터 페퍼)
ROST.O,23.11,29.15,ROST.O (로스 스토어스)
PAYX.O,14.62,22.34,PAYX.O (페이첵스)
