Cluster,Symbol,Name,Return,Std Dev
0,AAPL.O,애플,52.39,87.09
1,AMZN.O,아마존닷컴,33.62,32.61
1,UNH,유나이티드헬스 그룹,27.36,25.09
1,V,비자,24.08,24.75
1,CRM,세일즈포스,26.08,36.11
1,HD,홈디포,22.87,23.22
2,JPM,제이피모간체이스,16.54,27.47
2,GS,골드만삭스,13.45,28.13
2,CVX,셰브론,9.21,27.06
2,AXP,아메리칸 익스프레스,17.4,28.62
2,DIS,월트 디즈니,10.84,26.1
2,CAT,캐터필러,16.66,28.63
2,NKE,나이키,15.09,27.87
2,AMGN.O,암젠,17.28,24.05
2,TRV,트래블러스 컴퍼니스,13.47,22.26
3,INTC.O,인텔,5.57,31.4
3,BA,보잉,14.18,35.86
3,DOW,다우,7.79,36.42
4,MCD,맥도날드,12.22,18.68
4,PG,프록터 & 갬블,9.03,17.27
4,MRK,머크 앤 코,10.84,20.65
4,JNJ,존슨앤드존슨,8.84,16.88
4,WMT,월마트,7.4,26.1
4,KO,코카콜라,8.69,17.06
4,VZ,버라이존 커뮤니케이션스,4.88,18.58
4,IBM,인터내셔날 비지니스 머신,5.41,22.35
4,HON.O,허니웰 인터내셔널,-1.56,20.27
4,MMM,쓰리엠 (3M),5.98,23.79
