,Return,Std Dev,Symbol(Name)
530036,-23.07,92.01,530036 (삼성 인버스 2X WTI원유 선물 ETN)
530107,-35.11,60.66,530107 (삼성 인버스 2X 코스닥150 선물 ETN)
520057,-35.0,60.86,520057 (미래에셋 인버스 2X 코스닥150 선물 ETN)
580044,-35.3,60.48,580044 (KB 인버스 2X KOSDAQ 150 선물 ETN)
530111,-46.72,104.94,530111 (삼성 레버리지 천연가스 선물 ETN C)
530031,5.17,80.34,530031 (삼성 레버리지 WTI원유 선물 ETN)
500027,-26.0,89.85,500027 (신한 인버스 2X WTI원유 선물 ETN(H))
550074,-78.48,117.69,550074 (N2 블룸버그 2X 천연가스 선물 ETN(H))
570082,-34.74,60.89,570082 (한투 인버스 2X 코스닥150선물 ETN)
500019,5.84,78.71,500019 (신한 레버리지 WTI원유 선물 ETN(H))
580014,-11.25,52.53,580014 (KB 인버스 2X 나스닥 100 ETN)
570103,280.82,66.57,570103 (한투 인버스2X 나스닥100 ETN B)
530118,-6.19,26.85,530118 (삼성 코스닥 150 TR ETN)
500072,-34.96,60.84,500072 (신한 인버스 2X 코스닥 150 선물 ETN)
570102,-72.16,65.3,570102 (한투 레버리지 나스닥100 ETN B)
570093,-48.84,105.56,570093 (한투 레버리지 천연가스 선물 ETN B)
530088,-24.72,77.76,530088 (삼성 레버리지 KRX 2차전지 K-뉴딜 ETN)
550043,-27.46,90.55,550043 (N2 인버스 레버리지 WTI원유 선물 ETN(H))
580020,-9.18,63.86,580020 (KB 천연가스 선물 ETN(H))
530116,-27.19,42.28,530116 (삼성 인버스 2X 나스닥 100 ETN)
530109,-41.63,64.26,530109 (삼성 S&P500 VIX S/T 선물 ETN)
570023,-20.41,38.23,570023 (한투 인버스 2X S&P500 선물 ETN(H))
500082,-54.35,104.49,500082 (신한 블룸버그 2X 천연가스 선물 ETN)
570051,19.63,21.7,570051 (한투 나스닥 100 ETN)
580055,-55.43,103.31,580055 (KB 블룸버그 레버리지 천연가스 선물 ETN)
520052,-55.78,60.0,520052 (미래에셋 천연가스 선물 ETN(H))
500076,-41.78,64.07,500076 (신한 S&P500 VIX S/T 선물 ETN D)
530062,-23.49,61.69,530062 (삼성 인버스 2X 은 선물 ETN(H))
500028,-17.28,36.92,500028 (신한 인버스 2X 다우존스지수 선물 ETN(H))
610067,-56.08,104.22,610067 (메리츠 블룸버그 2X 천연가스선물 ETN(H) B)
500066,9.57,71.67,500066 (신한 블룸버그 인버스 2X WTI원유 선물 ETN)
610038,-16.4,34.54,610038 (메리츠 레버리지 미국채30년 ETN(H))
500050,31.55,36.11,500050 (신한 레버리지 S&P500 선물 ETN)
530105,-18.65,36.39,530105 (삼성 인버스 2X 코스피200 선물 ETN)
500063,-1.15,30.35,500063 (신한 인버스 코스닥 150 선물 ETN)
580017,-2.89,40.16,580017 (KB 인버스 2X S&P 500 선물 ETN)
570088,-49.0,58.52,570088 (한투 S&P500 VIX S/T 선물 ETN(H))
530100,9.3,71.26,530100 (삼성 블룸버그 인버스 2X WTI원유 선물 ETN)
530099,10.61,67.74,530099 (삼성 블룸버그 레버리지 WTI원유 선물 ETN)
530115,72.82,36.43,530115 (삼성 레버리지 나스닥 100 ETN)
580040,-20.08,36.58,580040 (KB 인버스 2X KOSPI 200 선물 ETN)
580015,32.29,43.17,580015 (KB 레버리지 나스닥 100 ETN)
580031,-1.21,30.05,580031 (KB 인버스 KOSDAQ150 선물 ETN)
570101,81.99,35.94,570101 (한투 인버스 나스닥100 ETN B)
510037,-50.3,104.28,510037 (대신 S&P 2X 천연가스 선물 ETN B)
530114,-16.11,30.17,530114 (삼성 인버스 2X S&P500 선물 ETN)
500030,-13.95,58.34,500030 (신한 인버스 2X 은 선물 ETN(H))
530064,-14.37,44.21,530064 (삼성 인버스 2X 구리 선물 ETN(H))
570107,-97.67,44.31,570107 (한투 인버스2X일본니케이225선물 ETN(H))
520076,-80.06,77.97,520076 (미래에셋 1.5X 천연가스 선물 ETN)
520055,-18.72,36.41,520055 (미래에셋 인버스 2X 코스피200 선물 ETN)
530104,29.97,36.53,530104 (삼성 레버리지 코스피200 선물 ETN)
530110,42.49,36.39,530110 (삼성 인버스 0.5X S&P500 VIX S/T선물 ETN)
610078,138.65,43.18,610078 (메리츠 3X 레버리지 미국채30년 ETN)
520064,-7.96,29.88,520064 (미래에셋 2X 미국채울트라30년 선물 ETN)
500015,7.04,42.45,500015 (신한 WTI원유 선물 ETN(H))
570084,291.25,119.53,570084 (한투 블룸버그 인버스 2X 천연가스선물 ETN)
500065,10.96,68.25,500065 (신한 블룸버그 레버리지 WTI원유 선물 ETN)
530094,-1.14,30.38,530094 (삼성 인버스 코스닥 150 선물 ETN)
500051,-17.39,45.36,500051 (신한 인버스 2X S&P500 선물 ETN)
570079,9.4,71.64,570079 (한투 블룸버그 인버스 2X WTI원유 선물 ETN)
580047,-18.62,64.31,580047 (KB 레버리지 항셍테크 선물 ETN(H) B)
570095,-8.99,19.17,570095 (한투 레버리지 일본 엔선물 ETN C)
530056,-13.92,29.93,530056 (삼성 인버스 2X 금 선물 ETN(H))
530117,9.52,21.35,530117 (삼성 코스피 200 TR ETN)
530061,31.55,62.59,530061 (삼성 레버리지 은 선물 ETN(H))
510016,-9.38,64.2,510016 (대신 천연가스 선물 ETN(H))
580036,3.06,67.99,580036 (KB S&P 레버리지 WTI원유 선물 ETN(H))
530113,43.58,22.77,530113 (삼성 레버리지 S&P500 선물 ETN)
580048,-9.5,14.63,580048 (KB CSI 300 ETN)
610069,3.65,20.85,610069 (메리츠 KAP 레버리지 일본 엔화 ETN)
580025,-25.05,74.79,580025 (KB 레버리지 KRX 2차전지 K-뉴딜 ETN)
520063,38.27,36.71,520063 (미래에셋 -0.5X S&P500 VIX S/T선물 ETN(H))
510015,-6.35,36.32,510015 (대신 밀 선물 ETN(H))
760006,-34.8,31.95,760006 (키움 KPOP ETN)
500029,16.4,58.31,500029 (신한 레버리지 은 선물 ETN(H))
580037,9.24,71.47,580037 (KB S&P 인버스 2X WTI원유 선물 ETN)
520046,-9.91,50.76,520046 (미래에셋 레버리지 옥수수 선물 ETN)
510017,12.0,78.69,510017 (대신 2X 철광석 선물 ETN(H))
510027,-34.82,60.28,510027 (대신 인버스 2X 코스닥 150 선물 ETN)
530106,50.21,59.86,530106 (삼성 레버리지 코스닥150 선물 ETN)
