,Return,Std Dev,Symbol(Name)
NVDA.O,60.05,45.29,NVDA.O (엔비디아)
TSLA.O,68.38,56.42,TSLA.O (테슬라)
AAPL.O,52.14,87.04,AAPL.O (애플)
MSFT.O,26.07,25.7,MSFT.O (마이크로소프트)
META.O,33.92,40.09,META.O (메타 플랫폼스)
AMZN.O,33.52,32.61,AMZN.O (아마존닷컴)
LLY,29.54,24.96,LLY (일라이 릴리)
AMD.O,43.22,56.01,AMD.O (어드밴스드 마이크로 디바이시스(AMD))
GOOGL.O,24.97,27.22,GOOGL.O (알파벳 Class A)
SMCI.O,50.75,56.27,SMCI.O (슈퍼 마이크로 컴퓨터)
AVGO.O,40.43,35.32,AVGO.O (브로드컴)
GOOG.O,23.32,27.96,GOOG.O (알파벳 Class C)
MU.O,31.78,46.48,MU.O (마이크론 테크놀로지)
V,23.83,24.76,V (비자)
UNH,26.84,25.09,UNH (유나이티드헬스 그룹)
INTC.O,4.98,31.53,INTC.O (인텔)
COST.O,24.34,20.37,COST.O (코스트코 홀세일)
XOM,8.5,25.28,XOM (엑슨 모빌)
CRWD.O,56.1,58.65,CRWD.O (크라우드 스트라이크 홀딩스)
DIS,10.54,26.12,DIS (월트 디즈니)
NFLX.O,46.33,49.78,NFLX.O (넷플릭스)
JPM,16.79,27.48,JPM (제이피모간체이스)
BRKb,14.72,19.09,BRKb (버크셔 해서웨이 Class B)
CVX,9.02,27.06,CVX (셰브론)
BAC,12.97,33.57,BAC (뱅크오브아메리카)
LRCX.O,37.24,38.21,LRCX.O (램 리서치)
CSCO.O,8.64,25.93,CSCO.O (시스코 시스템즈)
AMAT.O,29.66,36.37,AMAT.O (어플라이드 머티어리얼즈)
MCK,19.89,26.17,MCK (매케슨)
WMT,7.34,26.08,WMT (월마트)
PANW.O,41.6,44.42,PANW.O (팔로 알토 네트웍스)
PG,9.04,17.26,PG (프록터 & 갬블)
UBER.K,26.98,54.29,UBER.K (우버 테크놀로지스)
BKNG.O,28.65,32.51,BKNG.O (부킹 홀딩스)
KO,8.61,17.06,KO (코카콜라)
HD,22.67,23.23,HD (홈디포)
MA,28.68,27.18,MA (마스터카드)
TJX,21.85,24.89,TJX (TJX 컴퍼니스)
GS,13.76,28.13,GS (골드만삭스)
QCOM.O,18.11,33.24,QCOM.O (퀄컴)
EXPE.O,25.63,41.74,EXPE.O (익스피디아그룹)
CRM,26.35,36.1,CRM (세일즈포스)
PFE,7.27,21.81,PFE (화이자)
JNJ,8.66,16.88,JNJ (존슨앤드존슨)
ORCL.K,17.07,26.69,ORCL.K (오라클)
MCD,11.95,18.69,MCD (맥도날드)
GILD.O,14.97,27.42,GILD.O (길리어드 사이언스)
ADBE.O,29.85,31.88,ADBE.O (어도비)
MRK,10.78,20.65,MRK (머크 앤 코)
C,8.52,33.56,C (씨티그룹)
BMY,7.19,23.15,BMY (브리스톨-마이어스 스큅)
AKAM.O,12.72,34.66,AKAM.O (아카마이 테크놀로지)
NOW,44.75,40.79,NOW (서비스나우)
CMG,30.85,34.28,CMG (치폴레 멕시칸 그릴)
RTX,26.48,29.12,RTX (RTX)
ETN,21.06,28.0,ETN (이튼)
COP,13.73,34.01,COP (코노코필립스)
GM,7.85,34.12,GM (제너럴 모터스)
WFC,9.52,29.53,WFC (웰스파고)
BA,14.07,35.85,BA (보잉)
SHW,24.45,24.81,SHW (셔윈-윌리엄즈)
ABBV.K,19.6,26.35,ABBV.K (애브비)
CEG.O,79.68,40.73,CEG.O (콘스텔레이션 에너지)
ABT,14.24,21.69,ABT (애보트 래보라토리)
TXN.O,19.85,26.78,TXN.O (텍사스 인스트루먼트)
ACN,19.25,24.2,ACN (액센추어)
CTSH.O,12.15,28.99,CTSH.O (코그니전트 테크놀로지 솔루션)
AMGN.O,16.98,24.1,AMGN.O (암젠)
TTWO.O,28.76,34.84,TTWO.O (테이크-투 인터랙티브 소프트웨어)
TMO,22.87,24.56,TMO (써모 피셔 사이언티픽)
RCL,27.94,48.2,RCL (로얄 캐리비안 크루즈)
KLAC.O,35.7,35.5,KLAC.O (KLA)
CAT,17.08,28.64,CAT (캐터필러)
PYPL.O,14.49,38.18,PYPL.O (페이팔 홀딩스)
PEP.O,8.91,17.27,PEP.O (펩시코)
CMCSA.O,14.16,24.15,CMCSA.O (컴캐스트)
ABNB.O,6.63,50.35,ABNB.O (에어비앤비)
TMUS.O,29.03,34.32,TMUS.O (T-모바일 US)
DHR,20.22,22.96,DHR (다나허)
ANET.K,50.19,43.63,ANET.K (아리스타 네트웍스)
NKE,15.11,27.87,NKE (나이키)
IBM,5.5,22.38,IBM (인터내셔날 비지니스 머신)
ADI.O,19.86,28.92,ADI.O (애널로그 디바이시스)
PH,22.97,29.92,PH (파커-하니핀)
TGT,11.59,27.9,TGT (타겟)
INTU.O,27.57,29.07,INTU.O (인튜이트)
CDNS.O,36.76,30.13,CDNS.O (케이던스 디자인 시스템즈)
LIN.O,22.61,25.56,LIN.O (린드)
F,5.47,33.9,F (포드 모터)
DHI,30.12,35.78,DHI (D R 호턴)
FTNT.O,41.73,41.62,FTNT.O (포티넷)
AON,19.25,22.07,AON (에이온)
VZ,4.83,18.59,VZ (버라이존 커뮤니케이션스)
UPS,8.23,23.21,UPS (유나이티드 파셀 서비스)
CVS,7.88,24.4,CVS (CVS 헬스)
ISRG.O,26.04,31.68,ISRG.O (인튜이티브 서지컬)
REGN.O,40.82,37.26,REGN.O (리제네론 파마슈티컬스)
AXP,17.58,28.62,AXP (아메리칸 익스프레스)
AMT,15.04,24.07,AMT (아메리칸 타워)
GE,8.18,32.19,GE (제너럴 일렉트릭)
DE,17.87,27.74,DE (디어 앤 코)
LMT,17.63,20.9,LMT (록히드 마틴)
LUV,11.69,33.23,LUV (사우스웨스트 에어라인스)
SNPS.O,29.75,26.48,SNPS.O (시놉시스)
T,2.49,20.88,T (AT&T)
OXY,7.97,42.93,OXY (옥시덴털 페트롤리움)
PM,8.82,21.41,PM (필립 모리스 인터내셔널)
VST,33.13,35.88,VST (비스트라 에너지)
KVUE.K,-14.4,28.02,KVUE.K (켄뷰)
ICE,18.06,23.05,ICE (인터컨티넨털 익스체인지)
