Cluster,Symbol,Name,Return,Std Dev
0,NVDA.O,엔비디아,60.05,45.29
0,AMD.O,어드밴스드 마이크로 디바이시스(AMD),43.22,56.01
0,ACLS.O,액셀리스 테크놀로지스,41.07,54.2
1,AVGO.O,브로드컴,40.43,35.32
1,MU.O,마이크론 테크놀로지,31.78,46.48
1,LRCX.O,램 리서치,37.24,38.21
1,AMAT.O,어플라이드 머티어리얼즈,29.66,36.37
1,ASML.O,ASML 홀딩 ADR,34.1,34.71
1,KLAC.O,KLA,35.7,35.5
1,MPWR.O,모놀리식 파워 시스템즈,41.86,40.49
1,ON.O,온 세미콘덕터,30.59,44.79
1,NXPI.O,NXP 세미콘덕터,33.76,42.24
1,TER.O,테라다인,27.89,37.76
1,ENTG.O,인테그리스,35.32,39.98
1,LSCC.O,래티스 세미컨덕터,30.76,48.18
2,MRVL.O,마벨 테크놀로지 그룹,19.47,41.8
2,COHR.K,코히런트,22.81,46.1
2,SWKS.O,스카이웍스 솔루션스,23.12,40.65
2,QRVO.O,코보,14.05,42.24
2,AMKR.O,앰코 테크놀로지,26.67,47.98
2,RMBS.O,램버스,18.64,44.9
2,ALGM.O,알레그로 마이크로시스템즈,19.57,47.32
2,GFS.O,글로벌파운드리,10.59,49.62
3,TSM,타이완 반도체 매뉴팩처링 ADR,27.37,29.86
3,INTC.O,인텔,4.98,31.53
3,QCOM.O,퀄컴,18.11,33.24
3,TXN.O,텍사스 인스트루먼트,19.85,26.78
3,ADI.O,애널로그 디바이시스,19.86,28.92
3,MCHP.O,마이크로칩 테크놀러지,18.87,33.57
4,WOLF.K,울프스피드,-30.52,75.4
