,Return,Std Dev,Symbol(Name)
AAPL.O,52.36,87.01,AAPL.O (애플)
MSFT.O,26.28,25.69,MSFT.O (마이크로소프트)
AMZN.O,33.67,32.6,AMZN.O (아마존닷컴)
V,23.85,24.75,V (비자)
HD,22.83,23.23,HD (홈디포)
WMT,7.41,26.08,WMT (월마트)
JPM,16.96,27.47,JPM (제이피모간체이스)
CSCO.O,8.63,25.93,CSCO.O (시스코 시스템즈)
UNH,27.15,25.09,UNH (유나이티드헬스 그룹)
MRK,10.7,20.65,MRK (머크 앤 코)
INTC.O,5.07,31.57,INTC.O (인텔)
NKE,15.55,27.9,NKE (나이키)
CRM,26.43,36.09,CRM (세일즈포스)
KO,8.59,17.05,KO (코카콜라)
PG,8.95,17.26,PG (프록터 & 갬블)
CVX,8.99,27.05,CVX (셰브론)
DIS,10.54,26.11,DIS (월트 디즈니)
JNJ,8.55,16.87,JNJ (존슨앤드존슨)
GS,13.89,28.13,GS (골드만삭스)
HON.O,-2.44,20.22,HON.O (허니웰 인터내셔널)
BA,14.09,35.85,BA (보잉)
MCD,12.03,18.68,MCD (맥도날드)
CAT,17.05,28.63,CAT (캐터필러)
AMGN.O,16.97,24.09,AMGN.O (암젠)
AXP,17.77,28.62,AXP (아메리칸 익스프레스)
VZ,4.86,18.58,VZ (버라이존 커뮤니케이션스)
MMM,6.02,23.78,MMM (쓰리엠 (3M))
IBM,5.53,22.37,IBM (인터내셔날 비지니스 머신)
TRV,13.43,22.26,TRV (트래블러스 컴퍼니스)
DOW,8.04,36.35,DOW (다우)
