,Return,Std Dev,Symbol(Name)
005930,15.41,26.5,005930 (삼성전자)
000660,23.79,37.86,000660 (SK하이닉스)
373220,-7.66,40.71,373220 (LG에너지솔루션)
207940,37.95,39.02,207940 (삼성바이오로직스)
005935,17.39,27.05,005935 (삼성전자우)
005380,10.7,32.6,005380 (현대차)
068270,37.86,54.71,068270 (셀트리온)
000270,17.63,32.29,000270 (기아)
105560,7.26,30.35,105560 (KB금융)
005490,0.81,31.85,005490 (POSCO홀딩스)
055550,5.71,28.16,055550 (신한지주)
035420,13.63,35.18,035420 (NAVER)
028260,8.23,33.88,028260 (삼성물산)
006400,13.75,38.7,006400 (삼성SDI)
051910,9.91,38.8,051910 (LG화학)
012330,7.49,33.21,012330 (현대모비스)
329180,36.04,43.33,329180 (HD현대중공업)
086790,10.12,33.01,086790 (하나금융지주)
032830,2.25,28.63,032830 (삼성생명)
035720,14.02,37.02,035720 (카카오)
003670,43.36,44.17,003670 (포스코퓨처엠)
138040,31.93,36.1,138040 (메리츠금융지주)
000810,7.82,28.61,000810 (삼성화재)
259960,-0.1,45.91,259960 (크래프톤)
066570,4.4,35.09,066570 (LG전자)
012450,18.96,42.36,012450 (한화에어로스페이스)
009540,10.45,40.73,009540 (HD한국조선해양)
033780,5.98,23.07,033780 (KT&G)
011200,0.54,56.77,011200 (HMM)
003550,5.88,31.39,003550 (LG)
015760,0.06,28.51,015760 (한국전력)
017670,7.47,23.88,017670 (SK텔레콤)
034020,1.57,45.43,034020 (두산에너빌리티)
042700,51.84,47.85,042700 (한미반도체)
316140,4.38,29.44,316140 (우리금융지주)
402340,12.84,42.76,402340 (SK스퀘어)
018260,-2.74,34.33,018260 (삼성에스디에스)
024110,3.61,27.61,024110 (기업은행)
009150,8.68,35.99,009150 (삼성전기)
010130,13.48,35.21,010130 (고려아연)
323410,-23.78,49.77,323410 (카카오뱅크)
034730,15.02,36.37,034730 (SK)
096770,8.22,41.88,096770 (SK이노베이션)
267260,47.5,58.07,267260 (HD현대일렉트릭)
030200,2.05,20.91,030200 (KT)
010140,5.05,40.92,010140 (삼성중공업)
459580,3.76,0.15,459580 (KODEX CD금리액티브(합성))
047050,12.96,43.96,047050 (포스코인터내셔널)
086280,11.82,36.22,086280 (현대글로비스)
326030,3.17,43.87,326030 (SK바이오팜)
003490,2.01,35.07,003490 (대한항공)
010950,8.4,36.31,010950 (S-Oil)
005830,14.06,33.49,005830 (DB손해보험)
000100,15.68,33.19,000100 (유한양행)
090430,9.07,37.71,090430 (아모레퍼시픽)
352820,1.43,51.08,352820 (하이브)
267250,6.68,34.13,267250 (HD현대)
357870,2.28,0.23,357870 (TIGER CD금리투자KIS(합성))
064350,15.66,48.12,064350 (현대로템)
011070,17.28,43.52,011070 (LG이노텍)
005387,15.59,32.5,005387 (현대차2우B)
450080,200.79,112.28,450080 (에코프로머티)
047810,16.94,40.2,047810 (한국항공우주)
069500,6.68,17.24,069500 (KODEX 200)
034220,-1.88,36.71,034220 (LG디스플레이)
097950,9.37,31.62,097950 (CJ제일제당)
251270,-3.21,44.61,251270 (넷마블)
161390,5.1,34.9,161390 (한국타이어앤테크놀로지)
010120,12.47,38.95,010120 (LS ELECTRIC)
051900,7.48,35.12,051900 (LG생활건강)
088980,9.59,11.43,088980 (맥쿼리인프라)
028050,3.29,44.41,028050 (삼성E&A)
443060,-63.5,89.81,443060 (HD현대마린솔루션)
009830,15.08,45.76,009830 (한화솔루션)
029780,1.68,27.37,029780 (삼성카드)
