Cluster,Symbol,Name,Return,Std Dev
0,COCH.O,엔보이 메디컬,593.93,266.25
1,FSUN.O,퍼스트선 캐피털 뱅코프,581.11,24.52
2,ASNS.O,악텔리스 네트웍스,575.25,486.13
2,JFBR.O,제프스 브랜즈,586.07,450.95
3,WTO.O,U타임,551.76,121.34
4,CLSK.O,클린스파크,534.59,356.87
5,BKYI.O,바이오-키 인터내셔널,519.39,529.76
6,DJT.O,트럼프 미디어 & 테크놀로지 그룹,501.36,251.36
6,RGC.O,리젠셀 바이오사이언스 홀딩스,498.46,278.01
6,HUDI.O,화디 인터내셔널 그룹,506.97,273.65
7,WINVR.O,WinVest Acquisition Right,489.32,214.09
7,GLLIR.O,Globalink Investment Rights Exp 6th Dec 2026,459.63,216.41
7,DISTR.O,Distoken Acquisition Rights Exp 10 Feb 2028,513.5,206.01
8,LIF.O,라이프360,485.18,56.39
9,PAYS.O,페이사인,459.16,295.16
10,MGOL.O,MGO 글로벌,456.09,392.64
11,WORX.O,에스씨웍스,445.02,438.1
12,RMBL.O,럼블온,401.83,454.24
13,VFS.O,빈패스트 오토,401.52,299.07
14,RFACR.O,RF Acquisition Rights Exp 1st May 2028,407.2,206.32
14,MSSAR.O,Metal Sky Star Acquisition Rights Exp 31 Mar 2027,386.7,216.27
15,CTRM.O,캐스터 마리타임,382.11,407.71
15,BCDA.O,바이오카디아,352.98,400.19
16,RCON.O,레콘 테크놀러지,365.83,470.6
17,FRHC.O,프리덤 홀딩,372.47,179.7
17,CHSN.O,샹송 인터내셔널 홀딩,357.1,158.42
18,CODA.O,코다 옥토퍼스 그룹,341.22,224.28
18,BRACR.O,Broad Capital Acquisition Rights,364.55,217.97
19,AGEN.O,아제너스,307.62,512.14
19,RGS.O,레지스,336.64,511.79
20,GRAL.O,그레일,313.13,123.85
20,MTEN.O,명등 인터내셔널,309.29,114.61
21,SPI.O,SPI 에너지,298.78,456.6
21,VVOS.O,비보스 테라퓨틱스,302.23,460.79
22,DLPN.O,돌핀 엔터테인먼트,281.28,235.58
22,ONCO.O,온코네틱스,303.27,233.61
23,MBRX.O,몰컬린 바이오테크,287.21,431.76
23,BPTH.O,바이오 패스 홀딩스,280.0,426.64
24,GCT.O,기가클라우드 테크놀로지,262.43,185.53
24,XELB.O,엑셀 브랜즈,283.03,203.9
24,ATMVR.O,AlphaVest Acquisition Rights Expiry 22nd December 2024,282.51,180.54
25,BGLC.O,바이오넥서스 진 랩,278.99,364.06
25,IMTE.O,인티그레이티드 미디어 테크놀로지,271.21,395.06
26,XPEL.O,엑스펠,275.73,146.04
26,BLFS.O,바이오라이프 솔루션스,272.4,155.09
26,IZM.O,ICZOOM 그룹,260.88,143.06
26,AQUNR.O,Aquaron Acquisition Rights Exp 15th July 2026,276.49,159.89
26,TMTCR.O,TMT Acquisition Rights,264.52,152.39
26,BUJAR.O,Bukit Jalil Global Acquisition 1 Right Exp 30 December 2024,289.21,153.57
27,ELWS.O,얼리웍스 ADR,268.75,297.98
28,PAL.O,프로피시언트 오토 로지스틱스,263.31,30.41
28,TWFG.O,TWFG,266.2,37.95
29,SCOR.O,컴스코어,254.42,515.76
29,XWEL.O,X웰,271.49,521.27
30,ATGL.O,알파 테크놀로지 그룹,263.67,219.18
30,VVPR.O,비보파워 인터내셔널,257.89,241.71
31,ORKT.O,오렌지클라우드 테크놀로지,246.87,91.27
31,EMCGR.O,Embrace Change Acquisition Rights,248.3,122.72
31,BAYAR.O,Bayview Acquisition Rights,261.68,112.6
31,JVSAR.O,JV SPAC Acquisition Rights Exp 26th Nov 2026,258.51,119.31
32,OMH.O,오마이홈,248.22,310.94
33,CJJD.O,차이나 조조 드럭스토어,239.52,462.83
33,PAVM.O,파브메드,255.87,444.28
34,IMRN.O,이뮤론 ADR,241.89,337.61
34,DRUG.O,브라이트 마인즈 바이오사이언시스,253.17,342.73
35,NOVVR.O,Nova Vision Acquisition Rights,241.6,165.61
35,IBACR.O,IB Acquisition Rights Exp 28 September 2025,244.13,198.52
36,NCTY.O,더나인 ADR,214.89,298.24
37,FBIO.O,포트리스 바이오텍,217.98,419.0
37,MTEM.O,몰레큘러 템플리츠,201.86,391.94
38,TGTX.O,TG 테라퓨틱스,206.45,217.09
38,MTC.O,MMTEC,188.81,249.19
38,CXAI.O,CX앱,215.07,245.49
39,LBPH.O,롱보드 파마슈티컬,182.7,188.4
39,USEA.O,유나이티드 마리타임,192.79,175.61
39,NXL.O,넥살린 테크놀로지,179.96,185.23
39,BNIXR.O,Bannix Acquisition Right Exp 31st July 2026,197.75,184.08
39,ASCBR.O,A SPAC II Acquisition Rights Exp 15th Oct 2026,215.53,167.0
39,YOTAR.O,Yotta Acquisition Rights,211.57,158.42
40,ARM.O,암 홀딩스 ADR,206.44,90.58
40,CELH.O,셀시어스 홀딩스,194.35,122.2
40,TEM.O,템퍼스 AI,182.41,114.8
40,MLTX.O,문레이크 이뮤노테라퓨틱스,186.46,100.97
40,IROHR.O,Iron Horse Acquisitions Rights Exp 27 December 2028,174.62,112.97
41,WAY.O,웨이스타 홀딩,183.89,42.38
42,IMNN.O,이뮨온,160.95,366.12
42,SNGX.O,솔리제닉스,166.43,353.4
43,CADL.O,캔델 테라퓨틱스,160.54,193.44
43,CREV.O,카본 레볼루션 퍼블릭,157.28,202.45
43,BLEUR.O,bleuacacia Rights,168.93,188.98
44,MARA.O,마라톤 디지털 홀딩스,171.18,171.8
44,SOUN.O,사운드하운드 AI,159.47,158.4
44,REKR.O,레코 시스템,147.42,166.73
44,RENB.O,레노바로,153.03,154.67
44,FPAY.O,플렉스쇼퍼,163.3,176.2
44,ATMCR.O,AlphaTime Acquisition Rights Exp 1st Mar 2028,163.45,157.12
45,APGE.O,아포지 테라퓨틱스,153.53,74.48
45,VERA.O,베라 테라퓨틱스,138.99,96.62
45,BLTE.O,비라이트 바이오 ADR,175.78,83.45
45,SYRE.O,스파이어 테라퓨틱스,167.52,83.54
45,DYCQR.O,DT Cloud Acquisition Rights,156.23,96.03
46,ACHV.O,어치브 라이프 사이언스,166.14,507.61
46,AVGR.O,아빙거,147.25,525.92
47,JSPR.O,재스퍼 테라퓨틱스,145.88,296.62
47,INO.O,이노비오 파마슈티컬스,168.08,295.8
47,RETO.O,리토 에코-솔루션,153.84,296.78
48,EYPT.O,아이포인트 파머수티컬스,144.63,259.56
48,AXDX.O,엑셀러레이트 다이아그노스틱스,150.84,256.61
48,AACG.O,ATA 크리에이티비티 글로벌 ADR,157.85,271.59
48,TXMD.O,테라퓨틱스MD,158.69,240.74
49,OS.O,원스트림,148.44,24.47
50,GYRE.O,자이어 테라퓨틱스,151.78,322.85
50,VSTM.O,베라스템,159.15,321.95
50,ASMB.O,어셈블리 바이오사이언시스,135.88,302.88
50,EQ.O,이퀼리움,152.77,319.04
50,EMKR.O,엠코어,129.16,328.8
51,UPST.O,업스타트 홀딩스,124.43,124.95
51,APLD.O,어플라이드 디지털,126.63,141.94
51,AEYE.O,오디오아이,120.65,136.44
51,FENC.O,페넥 파머수티컬스,121.05,139.12
