,Return,Std Dev,Symbol(Name)
NVDA.O,61.33,45.31,NVDA.O (엔비디아)
AMD.O,43.66,55.99,AMD.O (어드밴스드 마이크로 디바이시스(AMD))
AVGO.O,41.39,35.34,AVGO.O (브로드컴)
MU.O,32.47,46.47,MU.O (마이크론 테크놀로지)
TSM,27.5,29.86,TSM (타이완 반도체 매뉴팩처링 ADR)
QCOM.O,18.24,33.25,QCOM.O (퀄컴)
INTC.O,5.07,31.57,INTC.O (인텔)
AMAT.O,30.12,36.37,AMAT.O (어플라이드 머티어리얼즈)
ASML.O,34.28,34.7,ASML.O (ASML 홀딩 ADR)
LRCX.O,37.7,38.21,LRCX.O (램 리서치)
TXN.O,19.99,26.78,TXN.O (텍사스 인스트루먼트)
ADI.O,20.0,28.92,ADI.O (애널로그 디바이시스)
KLAC.O,36.26,35.51,KLAC.O (KLA)
MRVL.O,19.91,41.81,MRVL.O (마벨 테크놀로지 그룹)
NXPI.O,33.8,42.23,NXPI.O (NXP 세미콘덕터)
MCHP.O,19.08,33.58,MCHP.O (마이크로칩 테크놀러지)
ON.O,30.54,44.78,ON.O (온 세미콘덕터)
MPWR.O,42.3,40.49,MPWR.O (모놀리식 파워 시스템즈)
SWKS.O,23.35,40.65,SWKS.O (스카이웍스 솔루션스)
TER.O,28.13,37.76,TER.O (테라다인)
ENTG.O,35.63,39.98,ENTG.O (인테그리스)
COHR.K,23.28,46.1,COHR.K (코히런트)
LSCC.O,30.81,48.18,LSCC.O (래티스 세미컨덕터)
QRVO.O,14.3,42.23,QRVO.O (코보)
WOLF.K,-32.43,75.53,WOLF.K (울프스피드)
GFS.O,10.48,49.6,GFS.O (글로벌파운드리)
ACLS.O,40.83,54.18,ACLS.O (액셀리스 테크놀로지스)
RMBS.O,18.77,44.89,RMBS.O (램버스)
ALGM.O,20.66,47.27,ALGM.O (알레그로 마이크로시스템즈)
AMKR.O,26.67,47.97,AMKR.O (앰코 테크놀로지)
