,Return,Std Dev,Symbol(Name)
459580,3.77,0.15,459580 (KODEX CD금리액티브(합성))
357870,2.28,0.23,357870 (TIGER CD금리투자KIS(합성))
069500,6.86,17.24,069500 (KODEX 200)
423160,3.33,0.13,423160 (KODEX KOFR금리액티브(합성))
360750,19.95,14.82,360750 (TIGER 미국S&P500)
449170,3.65,0.15,449170 (TIGER KOFR금리액티브(합성))
133690,21.99,18.41,133690 (TIGER 미국나스닥100)
273130,1.96,3.07,273130 (KODEX 종합채권(AA-이상)액티브)
381180,27.58,30.54,381180 (TIGER 미국필라델피아반도체나스닥)
381170,27.95,24.6,381170 (TIGER 미국테크TOP10 INDXX)
122630,10.73,34.2,122630 (KODEX 레버리지)
278530,5.69,18.86,278530 (KODEX 200TR)
465680,4.21,0.59,465680 (KODEX 24-12 은행채(AA+이상)액티브)
102110,7.11,17.77,102110 (TIGER 200)
455890,4.37,0.23,455890 (RISE 머니마켓액티브)
481050,3.74,0.14,481050 (KODEX 1년은행양도성예금증서+액티브(합성))
379800,18.7,14.54,379800 (KODEX 미국S&P500TR)
470260,4.74,0.33,470260 (TIGER 24-12 금융채(AA-이상))
371460,-6.78,32.85,371460 (TIGER 차이나전기차SOLACTIVE)
453850,-4.45,15.83,453850 (ACE 미국30년국채액티브(H))
233740,14.43,53.4,233740 (KODEX 코스닥150레버리지)
214980,1.83,0.19,214980 (KODEX 단기채권PLUS)
102780,7.5,19.03,102780 (KODEX 삼성그룹)
385540,1.88,4.34,385540 (RISE 종합채권(A-이상)액티브)
148020,7.09,16.64,148020 (RISE 200)
310970,10.26,19.81,310970 (TIGER MSCI Korea TR)
458730,21.33,11.38,458730 (TIGER 미국배당다우존스)
315930,15.69,22.16,315930 (KODEX Top5PlusTR)
360200,20.15,14.78,360200 (ACE 미국S&P500)
252670,-13.03,36.39,252670 (KODEX 200선물인버스2X)
379810,20.84,20.21,379810 (KODEX 미국나스닥100TR)
292150,8.26,21.78,292150 (TIGER TOP10)
476810,5.32,0.86,476810 (KODEX 25-11 은행채(AA-이상)PLUS액티브)
305720,16.44,35.49,305720 (KODEX 2차전지산업)
305540,19.83,36.59,305540 (TIGER 2차전지테마)
475630,3.76,0.14,475630 (TIGER CD1년금리액티브(합성))
367380,24.5,20.35,367380 (ACE 미국나스닥100)
453540,4.61,1.43,453540 (TIGER 25-10 회사채(A+이상)액티브)
229200,7.06,27.26,229200 (KODEX 코스닥150)
396500,13.66,27.96,396500 (TIGER Fn반도체TOP10)
356540,1.06,4.17,356540 (ACE 종합채권(AA-이상)KIS액티브)
447820,6.19,1.16,447820 (TIGER 24-10 회사채(A+이상)액티브)
294400,6.6,19.18,294400 (KOSEF 200TR)
152100,6.87,16.48,152100 (PLUS 200)
436140,5.36,5.74,436140 (SOL 종합채권(AA-이상)액티브)
157450,2.46,10.89,157450 (TIGER 단기통안채)
476550,7.9,11.84,476550 (TIGER 미국30년국채프리미엄액티브(H))
153130,1.95,0.34,153130 (KODEX 단기채권)
458760,15.43,10.42,458760 (TIGER 미국배당+7%프리미엄다우존스)
139260,10.63,22.23,139260 (TIGER 200 IT)
453870,29.22,13.28,453870 (TIGER 인도니프티50)
451540,5.93,4.05,451540 (TIGER 종합채권(AA-이상)액티브)
446720,9.56,12.23,446720 (SOL 미국배당다우존스)
368590,22.99,20.35,368590 (RISE 미국나스닥100)
272580,1.94,0.22,272580 (TIGER 단기채권액티브)
196230,1.8,0.21,196230 (RISE 단기통안채)
390390,38.14,30.87,390390 (KODEX 미국반도체MV)
462010,-31.14,53.71,462010 (TIGER 2차전지소재Fn)
314250,34.69,30.17,314250 (KODEX 미국빅테크10(H))
329750,5.17,8.88,329750 (TIGER 미국달러단기채권액티브)
114800,-4.0,17.76,114800 (KODEX 인버스)
477080,3.71,0.15,477080 (RISE CD금리액티브(합성))
091160,10.47,26.02,091160 (KODEX 반도체)
458250,-3.93,25.9,458250 (TIGER 미국30년국채스트립액티브(합성 H))
091180,9.01,25.57,091180 (KODEX 자동차)
329200,4.89,13.06,329200 (TIGER 리츠부동산인프라)
371160,-11.05,35.22,371160 (TIGER 차이나항셍테크)
469830,4.49,0.21,469830 (SOL 초단기채권액티브)
293180,6.71,19.23,293180 (HANARO 200)
105190,7.16,18.5,105190 (ACE 200)
446770,81.26,31.15,446770 (ACE 글로벌반도체TOP4 Plus SOLACTIVE)
453810,30.12,13.71,453810 (KODEX 인도Nifty50)
278540,5.64,19.21,278540 (KODEX MSCI Korea TR)
379780,18.34,14.71,379780 (RISE 미국S&P500)
439870,9.38,14.71,439870 (KODEX 국고채30년액티브)
161510,9.01,16.34,161510 (PLUS 고배당주)
465580,56.82,26.41,465580 (ACE 미국빅테크TOP7 Plus)
148070,3.12,5.25,148070 (KOSEF 국고채10년)
091170,5.92,24.39,091170 (KODEX 은행)
467940,6.5,1.04,467940 (KODEX 25-11 회사채(A+이상)액티브)
474220,59.51,24.52,474220 (TIGER 미국테크TOP10+10%프리미엄)
451000,6.58,4.75,451000 (PLUS 종합채권(AA-이상)액티브)
385560,-1.67,18.2,385560 (RISE KIS국고채30년Enhanced)
069660,7.07,18.09,069660 (KOSEF 200)
476450,4.14,0.3,476450 (히어로즈 머니마켓액티브)
402970,11.13,13.85,402970 (ACE 미국배당다우존스)
114260,2.93,5.23,114260 (KODEX 국고채3년)
488770,4.56,0.18,488770 (KODEX 머니마켓액티브)
456610,7.85,8.33,456610 (TIGER 미국달러SOFR금리액티브(합성))
251350,15.77,15.12,251350 (KODEX 선진국MSCI World)
441680,16.01,13.05,441680 (TIGER 미국나스닥100커버드콜(합성))
226490,8.04,16.57,226490 (KODEX 코스피)
486290,-10.27,29.54,486290 (TIGER 미국나스닥100+15%프리미엄초단기)
455030,7.97,8.34,455030 (KODEX 미국달러SOFR금리액티브(합성))
364980,6.88,37.82,364980 (TIGER 2차전지TOP10)
479080,4.55,0.17,479080 (1Q 머니마켓액티브)
466920,60.08,36.86,466920 (SOL 조선TOP3플러스)
455850,36.15,35.57,455850 (SOL AI반도체소부장)
472870,-4.16,19.52,472870 (RISE 미국30년국채엔화노출(합성 H))
304660,-1.63,16.34,304660 (KODEX 미국30년국채울트라선물(H))
454780,6.05,4.29,454780 (히어로즈 종합채권(AA-이상)액티브)
302190,1.74,4.13,302190 (TIGER 중장기국채)
457480,16.21,45.31,457480 (ACE 테슬라밸류체인액티브)
411060,19.29,13.66,411060 (ACE KRX금현물)
272560,2.02,0.36,272560 (RISE 단기국공채액티브)
477050,4.04,0.2,477050 (PLUS 머니마켓액티브)
449180,20.26,15.47,449180 (KODEX 미국S&P500(H))
241180,12.01,17.27,241180 (TIGER 일본니케이225)
251340,-8.4,28.44,251340 (KODEX 코스닥150선물인버스)
483280,34.84,37.8,483280 (KODEX 미국AI테크TOP10+15%프리미엄)
439860,5.57,2.09,439860 (KODEX ESG종합채권(A-이상)액티브)
448290,20.09,13.94,448290 (TIGER 미국S&P500TR(H))
091230,10.97,25.77,091230 (TIGER 반도체)
394660,2.31,23.32,394660 (TIGER 글로벌자율주행&전기차SOLACTIVE)
143860,12.95,28.43,143860 (TIGER 헬스케어)
449190,33.65,19.6,449190 (KODEX 미국나스닥100(H))
388420,11.98,29.8,388420 (RISE 비메모리반도체액티브)
245710,11.02,19.53,245710 (ACE 베트남VN30(합성))
361580,9.11,17.92,361580 (RISE 200TR)
481060,32.1,12.48,481060 (KODEX 미국30년국채+12%프리미엄(합성 H))
273140,1.89,0.25,273140 (KODEX 단기변동금리부채권액티브)
466940,57.49,27.17,466940 (TIGER 은행고배당플러스TOP10)
