Cluster,Symbol,Name,Return,Std Dev
0,MRNA.O,모더나,70.38,73.23
0,ENPH.O,인페이즈 에너지,71.76,80.28
1,NVDA.O,엔비디아,61.88,45.31
1,CEG.O,콘스텔레이션 에너지,78.94,40.63
1,BLDR.K,빌더스 퍼스트소스,72.92,45.04
1,HWM,하우멧 에어로스페이스,69.61,39.9
2,TSLA.O,테슬라,69.22,56.43
2,SMCI.O,슈퍼 마이크로 컴퓨터,53.0,56.31
2,CRWD.O,크라우드 스트라이크 홀딩스,58.47,58.58
3,AMD.O,어드밴스드 마이크로 디바이시스(AMD),44.19,55.99
3,NFLX.O,넷플릭스,46.89,49.76
3,PANW.O,팔로 알토 네트웍스,41.68,44.31
3,NOW,서비스나우,44.91,40.76
3,ANET.K,아리스타 네트웍스,50.85,43.6
3,MPWR.O,모놀리식 파워 시스템즈,42.88,40.52
3,FTNT.O,포티넷,42.36,41.6
3,PAYC.K,페이콤 소프트웨어,39.82,46.42
3,URI,유나이티드 렌탈스,49.61,44.53
4,AAPL.O,애플,52.53,86.98
4,NEE,넥스트에라 에너지,36.33,85.15
4,CZR.O,시저스 엔터테인먼트,39.18,84.8
5,AMZN.O,아마존닷컴,34.03,32.61
5,AVGO.O,브로드컴,42.19,35.36
5,LRCX.O,램 리서치,38.01,38.23
5,REGN.O,리제네론 파마슈티컬스,41.18,37.24
5,KLAC.O,KLA,36.56,35.53
5,TT,트레인 테크놀로지,37.98,31.64
5,CDNS.O,케이던스 디자인 시스템즈,37.09,30.12
5,FICO.K,페어 아이작,43.23,34.04
5,CARR.K,캐리어 글로벌,44.59,33.07
5,TDG,트랜스다임 그룹,35.5,31.22
5,DPZ,도미노 피자,34.35,29.29
5,VLTO.K,베랄토,37.06,27.23
5,TYL,타일러 테크놀로지스,34.59,28.74
6,META.O,메타 플랫폼스,34.07,40.07
6,MU.O,마이크론 테크놀로지,33.15,46.49
6,VRTX.O,버텍스 파마슈티컬,31.48,43.84
6,ON.O,온 세미콘덕터,31.14,44.81
6,NXPI.O,NXP 세미콘덕터,34.2,42.23
6,DECK.K,덱커 아웃도어,35.24,42.41
6,RCL,로얄 캐리비안 크루즈,28.03,48.19
6,ALGN.O,얼라인 테크놀로지,35.29,45.89
6,DXCM.O,덱스컴,34.56,51.91
6,FANG.O,다이아몬드백 에너지,37.98,48.31
6,TRGP.K,타르가 리소스,28.18,47.61
6,AXON.O,액손 엔터프라이스,35.23,43.2
6,GNRC.K,제네락 홀딩스,29.05,43.04
6,APA.O,APA (US),32.38,53.99
6,EPAM.K,이팸 시스템즈,36.63,43.88
7,AMAT.O,어플라이드 머티어리얼즈,30.4,36.38
7,CMG,치폴레 멕시칸 그릴,30.31,34.35
7,ULTA.O,울타 뷰티,30.75,38.04
7,CRM,세일즈포스,26.67,36.09
7,BKNG.O,부킹 홀딩스,29.06,32.5
7,TMUS.O,T-모바일 US,29.1,34.29
7,LULU.O,룰루레몬 애슬레티카,30.15,40.21
7,BX,블랙스톤,27.29,34.76
7,MPC,매러선 페트롤리엄,28.07,39.72
7,VST,비스트라 에너지,33.21,35.88
7,DHI,D R 호턴,30.34,35.76
7,KKR,KKR & Co,26.19,34.48
