,Return,Std Dev,Symbol(Name)
247540,88.9,60.66,247540 (에코프로비엠)
196170,104.22,68.91,196170 (알테오젠)
086520,60.4,58.46,086520 (에코프로)
028300,71.25,74.04,028300 (HLB)
348370,90.84,78.28,348370 (엔켐)
000250,56.96,56.67,000250 (삼천당제약)
145020,35.87,49.67,145020 (휴젤)
058470,33.84,35.64,058470 (리노공업)
141080,47.11,59.59,141080 (리가켐바이오)
068760,34.31,55.26,068760 (셀트리온제약)
214150,46.41,49.24,214150 (클래시스)
263750,27.59,50.11,263750 (펄어비스)
257720,210.47,85.93,257720 (실리콘투)
277810,101.16,69.17,277810 (레인보우로보틱스)
403870,103.75,68.04,403870 (HPSP)
039030,33.22,50.69,039030 (이오테크닉스)
357780,8.07,40.95,357780 (솔브레인)
214450,17.76,46.62,214450 (파마리서치)
078600,41.05,55.05,078600 (대주전자재료)
237690,26.15,55.32,237690 (에스티팜)
240810,22.12,45.12,240810 (원익IPS)
089030,35.63,47.55,089030 (테크윙)
035900,38.15,51.84,035900 (JYP Ent.)
005290,27.64,47.56,005290 (동진쎄미켐)
035760,2.02,35.87,035760 (CJ ENM)
039200,48.98,64.79,039200 (오스코텍)
041510,37.65,51.01,041510 (에스엠)
225570,31.68,62.72,225570 (넥슨게임즈)
178320,30.91,47.68,178320 (서진시스템)
298380,43.09,66.16,298380 (에이비엘바이오)
086900,36.7,54.26,086900 (메디톡스)
096530,33.91,56.68,096530 (씨젠)
293490,-19.35,48.9,293490 (카카오게임즈)
036930,17.23,48.96,036930 (주성엔지니어링)
065350,39.46,59.62,065350 (신성델타테크)
232140,48.2,55.63,232140 (와이씨)
137400,40.76,52.65,137400 (피엔티)
067630,54.25,75.93,067630 (HLB생명과학)
950160,-11.42,49.46,950160 (코오롱티슈진)
140860,59.35,45.7,140860 (파크시스템스)
064760,33.03,47.94,064760 (티씨케이)
310210,127.29,79.85,310210 (보로노이)
095340,41.22,52.96,095340 (ISC)
087010,41.55,68.33,087010 (펩트론)
195940,-6.71,44.3,195940 (HK이노엔)
036830,27.15,50.46,036830 (솔브레인홀딩스)
084370,31.86,47.97,084370 (유진테크)
067160,37.34,55.65,067160 (SOOP)
051980,38.88,81.31,051980 (중앙첨단소재)
417200,-13.38,87.24,417200 (LS머트리얼즈)
018290,35.49,62.32,018290 (브이티)
031980,31.22,49.3,031980 (피에스케이홀딩스)
281740,63.69,56.28,281740 (레이크머티리얼즈)
121600,39.17,58.13,121600 (나노신소재)
033100,48.04,59.29,033100 (제룡전기)
352480,78.78,57.1,352480 (씨앤씨인터내셔널)
328130,85.38,79.49,328130 (루닛)
112040,28.9,63.74,112040 (위메이드)
253450,-3.71,38.51,253450 (스튜디오드래곤)
204270,32.73,57.88,204270 (제이앤티씨)
140410,31.65,59.31,140410 (메지온)
287410,38.51,41.33,287410 (제이시스메디칼)
085660,17.88,51.59,085660 (차바이오텍)
214370,13.34,50.43,214370 (케어젠)
078130,30.62,60.86,078130 (국일제지)
047920,47.66,71.22,047920 (HLB제약)
056190,14.54,36.55,056190 (에스에프에이)
319660,42.74,52.0,319660 (피에스케이)
048410,37.71,75.76,048410 (현대바이오)
064550,42.86,69.11,064550 (바이오니아)
317330,48.23,63.99,317330 (덕산테코피아)
241710,29.12,52.41,241710 (코스메카코리아)
042000,20.62,67.86,042000 (카페24)
