Cluster,Symbol,Name,MA_Short_Window,MA_Long_Window,RSI_Window,RSI_Buy_Threshold,RSI_Sell_Threshold,Stop_Loss_Percent,Take_Profit_Percent,Average_Return,Symbol_sim_return,Return,Std Dev
15,287180,ARIRANG 미국나스닥테크,5,60,14,49,59,1.0,10.0,718.91,16.45,25.33,24.76
15,463250,TIGER 스페이스테크iSelect,5,60,14,49,59,1.0,10.0,718.91,0.0,28.5,30.43
15,381180,TIGER 미국필라델피아반도체나스닥,5,60,14,49,59,1.0,10.0,718.91,29.45,30.18,28.07
15,381170,TIGER 미국테크TOP10 INDXX,5,60,14,49,59,1.0,10.0,718.91,28.82,30.52,23.29
15,445290,KODEX K-로봇액티브,5,60,14,49,59,1.0,10.0,718.91,0.0,25.92,22.58
15,236350,TIGER 인도니프티50레버리지(합성),5,60,14,49,59,1.0,10.0,718.91,109.16,27.16,32.32
15,225040,TIGER 미국S&P500레버리지(합성 H),5,60,14,49,59,1.0,10.0,718.91,44.99,24.1,33.64
15,385510,KODEX K-신재생에너지액티브,5,60,14,49,59,1.0,10.0,718.91,0.0,28.32,29.03
15,450910,SOL 코스닥150,5,60,14,49,59,1.0,10.0,718.91,0.0,28.28,29.42
15,196030,ACE 일본TOPIX레버리지(H),5,60,14,49,59,1.0,10.0,718.91,20.03,24.54,35.86
15,472350,1Q 차이나H(H),5,60,14,49,59,1.0,10.0,718.91,0.0,31.86,24.37
15,433500,ACE 원자력테마딥서치,5,60,14,49,59,1.0,10.0,718.91,71.22,25.83,25.63
15,471780,TIGER 코리아테크액티브,5,60,14,49,59,1.0,10.0,718.91,0.0,30.41,21.0
15,461450,KODEX 코스닥글로벌,5,60,14,49,59,1.0,10.0,718.91,0.0,29.36,30.09
15,449690,TIGER 한중반도체(합성),5,60,14,49,59,1.0,10.0,718.91,11998.5,26.93,20.43
15,459560,KODEX 테슬라밸류체인FactSet,5,60,14,49,59,1.0,10.0,718.91,0.0,27.99,22.02
15,450190,KODEX 한중반도체(합성),5,60,14,49,59,1.0,10.0,718.91,2059.5,28.36,20.71
15,426410,ARIRANG 미국대체투자Top10MV,5,60,14,49,59,1.0,10.0,718.91,0.0,31.73,23.21
15,450120,KOSEF SK그룹대표주,5,60,14,49,59,1.0,10.0,718.91,0.0,30.63,21.65
