Cluster,Symbol,Name,MA_Short_Window,MA_Long_Window,RSI_Window,RSI_Buy_Threshold,RSI_Sell_Threshold,Stop_Loss_Percent,Take_Profit_Percent,Average_Return,Symbol_sim_return,Return,Std Dev
9,570055,한투 금 선물 ETN,5,60,14,49,54,1.0,10.0,33.06,0.0,14.11,13.05
9,530020,삼성 미국 대형 가치주 ETN,5,60,14,49,54,1.0,10.0,33.06,54.27,11.91,19.58
9,500023,신한 콩 선물 ETN(H),5,60,14,49,54,1.0,10.0,33.06,-7.21,4.72,19.66
9,580057,KB 일본 컨슈머 TOP 10 ETN,5,60,14,49,54,1.0,10.0,33.06,0.0,8.39,14.57
9,500035,신한 레버리지 미국달러 선물 ETN,5,60,14,49,54,1.0,10.0,33.06,28.12,8.75,17.32
9,510035,대신 3X 레버리지 국채10년 ETN,5,60,14,49,54,1.0,10.0,33.06,0.0,3.53,18.94
9,500086,신한 코스닥 150 TR ETN,5,60,14,49,54,1.0,10.0,33.06,0.0,8.79,19.68
9,500009,신한 다우존스지수 선물 ETN(H),5,60,14,49,54,1.0,10.0,33.06,34.91,12.31,17.25
9,570071,한투 구리 선물 ETN,5,60,14,49,54,1.0,10.0,33.06,13.74,9.94,20.42
9,530015,삼성 미국 대형 성장주 ETN(H),5,60,14,49,54,1.0,10.0,33.06,3.06,12.63,21.37
9,550066,N2 S&P500 버퍼10% 9월 ETN,5,60,14,49,54,1.0,10.0,33.06,0.0,15.69,15.04
9,500067,신한 레버리지 10년 국채선물 ETN,5,60,14,49,54,1.0,10.0,33.06,111.64,5.7,15.78
9,530016,삼성 미국 대형 가치주 ETN(H),5,60,14,49,54,1.0,10.0,33.06,70.0,9.95,20.94
9,530014,삼성 China A50 선물 ETN(H),5,60,14,49,54,1.0,10.0,33.06,0.12,6.95,20.42
9,550062,N2 레버리지 금 선물 ETN(H),5,60,14,49,54,1.0,10.0,33.06,130.31,14.64,27.82
9,570047,한투 FTSE100 ETN,5,60,14,49,54,1.0,10.0,33.06,0.0,17.11,15.64
9,550073,N2 iSelect-WG 그린에너지 ESG ETN,5,60,14,49,54,1.0,10.0,33.06,41.58,11.28,22.17
9,550079,N2 S&P500 버퍼10% 12월 ETN(H),5,60,14,49,54,1.0,10.0,33.06,0.0,16.45,19.68
9,610014,메리츠 은 선물 ETN(H),5,60,14,49,54,1.0,10.0,33.06,141.57,11.33,29.16
9,610072,메리츠 KAP 레버리지 중국 위안화 ETN,5,60,14,49,54,1.0,10.0,33.06,0.0,14.56,14.31
9,590018,미래에셋 중국 심천 100 ETN,5,60,14,49,54,1.0,10.0,33.06,8.87,4.82,20.72
9,500081,신한 S&P 인버스 2X 유로 선물 ETN(H),5,60,14,49,54,1.0,10.0,33.06,0.0,9.76,13.13
9,570057,한투 은 선물 ETN,5,60,14,49,54,1.0,10.0,33.06,68.04,11.06,25.61
9,570085,한투 블룸버그 인도네시아 대표원자재 ETN,5,60,14,49,54,1.0,10.0,33.06,43.26,14.52,28.16
9,530067,삼성 KRX 금현물 ETN,5,60,14,49,54,1.0,10.0,33.06,63.24,14.6,14.22
9,610012,메리츠 레버리지 금 선물 ETN(H),5,60,14,49,54,1.0,10.0,33.06,94.88,17.53,28.76
9,530083,삼성 금 선물 ETN(H),5,60,14,49,54,1.0,10.0,33.06,45.55,9.11,14.44
9,580022,KB 레버리지 금 선물 ETN(H),5,60,14,49,54,1.0,10.0,33.06,131.95,15.8,28.59
9,520067,미래에셋 홍콩H 선물 ETN(H),5,60,14,49,54,1.0,10.0,33.06,0.0,7.23,25.03
9,570056,한투 인버스 금 선물 ETN,5,60,14,49,54,1.0,10.0,33.06,-2.65,6.04,19.95
9,530019,삼성 미국 대형 성장주 ETN,5,60,14,49,54,1.0,10.0,33.06,9.37,14.64,19.33
9,500017,신한 은 선물 ETN(H),5,60,14,49,54,1.0,10.0,33.06,20.58,9.67,28.47
9,610009,메리츠 인버스 국채30년 ETN,5,60,14,49,54,1.0,10.0,33.06,-4.32,9.55,15.05
9,610010,메리츠 인버스 2X 국채30년 ETN,5,60,14,49,54,1.0,10.0,33.06,-14.91,16.97,30.82
9,610011,메리츠 금 선물 ETN(H),5,60,14,49,54,1.0,10.0,33.06,26.82,10.27,14.14
9,530055,삼성 레버리지 금 선물 ETN(H),5,60,14,49,54,1.0,10.0,33.06,84.32,17.88,30.08
9,530089,삼성 은 선물 ETN(H),5,60,14,49,54,1.0,10.0,33.06,155.82,11.52,29.38
9,500018,신한 구리 선물 ETN(H),5,60,14,49,54,1.0,10.0,33.06,12.92,11.08,21.73
9,610059,메리츠 3X 레버리지 국채10년 ETN,5,60,14,49,54,1.0,10.0,33.06,0.0,9.21,20.71
9,520062,미래에셋 인도네시아 금속&에너지 Top5 ETN,5,60,14,49,54,1.0,10.0,33.06,36.04,8.36,26.98
9,610039,메리츠 인버스 미국채30년 ETN(H),5,60,14,49,54,1.0,10.0,33.06,0.0,14.41,17.36
9,610021,메리츠 인버스 2X 국채10년 ETN,5,60,14,49,54,1.0,10.0,33.06,-6.17,5.51,14.73
9,500016,신한 금 선물 ETN(H),5,60,14,49,54,1.0,10.0,33.06,25.74,7.77,14.51
9,500067,신한 레버리지 10년 국채선물 ETN,5,120,14,44,54,1.0,10.0,30.73,94.27,5.7,15.78
9,500081,신한 S&P 인버스 2X 유로 선물 ETN(H),5,120,14,44,54,1.0,10.0,30.73,0.0,9.76,13.13
9,570085,한투 블룸버그 인도네시아 대표원자재 ETN,5,120,14,44,54,1.0,10.0,30.73,0.0,14.52,28.16
9,610039,메리츠 인버스 미국채30년 ETN(H),5,120,14,44,54,1.0,10.0,30.73,0.0,14.41,17.36
9,520062,미래에셋 인도네시아 금속&에너지 Top5 ETN,5,120,14,44,54,1.0,10.0,30.73,18.87,8.36,26.98
9,610059,메리츠 3X 레버리지 국채10년 ETN,5,120,14,44,54,1.0,10.0,30.73,0.0,9.21,20.71
9,500018,신한 구리 선물 ETN(H),5,120,14,44,54,1.0,10.0,30.73,17.28,11.08,21.73
9,530089,삼성 은 선물 ETN(H),5,120,14,44,54,1.0,10.0,30.73,177.99,11.52,29.38
9,530055,삼성 레버리지 금 선물 ETN(H),5,120,14,44,54,1.0,10.0,30.73,90.41,17.88,30.08
9,610011,메리츠 금 선물 ETN(H),5,120,14,44,54,1.0,10.0,30.73,20.01,10.27,14.14
9,610009,메리츠 인버스 국채30년 ETN,5,120,14,44,54,1.0,10.0,30.73,0.0,9.55,15.05
9,500017,신한 은 선물 ETN(H),5,120,14,44,54,1.0,10.0,30.73,51.05,9.67,28.47
9,530019,삼성 미국 대형 성장주 ETN,5,120,14,44,54,1.0,10.0,30.73,0.0,14.64,19.33
9,570056,한투 인버스 금 선물 ETN,5,120,14,44,54,1.0,10.0,30.73,0.0,6.04,19.95
9,520067,미래에셋 홍콩H 선물 ETN(H),5,120,14,44,54,1.0,10.0,30.73,0.0,7.23,25.03
9,580022,KB 레버리지 금 선물 ETN(H),5,120,14,44,54,1.0,10.0,30.73,94.94,15.8,28.59
9,530083,삼성 금 선물 ETN(H),5,120,14,44,54,1.0,10.0,30.73,45.9,9.11,14.44
9,610012,메리츠 레버리지 금 선물 ETN(H),5,120,14,44,54,1.0,10.0,30.73,83.49,17.53,28.76
9,530067,삼성 KRX 금현물 ETN,5,120,14,44,54,1.0,10.0,30.73,0.0,14.6,14.22
9,500016,신한 금 선물 ETN(H),5,120,14,44,54,1.0,10.0,30.73,45.8,7.77,14.51
9,570055,한투 금 선물 ETN,5,120,14,44,54,1.0,10.0,30.73,0.0,14.11,13.05
9,570057,한투 은 선물 ETN,5,120,14,44,54,1.0,10.0,30.73,6.69,11.06,25.61
9,610010,메리츠 인버스 2X 국채30년 ETN,5,120,14,44,54,1.0,10.0,30.73,0.0,16.97,30.82
9,590018,미래에셋 중국 심천 100 ETN,5,120,14,44,54,1.0,10.0,30.73,2.41,4.82,20.72
9,550066,N2 S&P500 버퍼10% 9월 ETN,5,120,14,44,54,1.0,10.0,30.73,0.0,15.69,15.04
9,500023,신한 콩 선물 ETN(H),5,120,14,44,54,1.0,10.0,30.73,-4.44,4.72,19.66
9,610072,메리츠 KAP 레버리지 중국 위안화 ETN,5,120,14,44,54,1.0,10.0,30.73,0.0,14.56,14.31
9,610014,메리츠 은 선물 ETN(H),5,120,14,44,54,1.0,10.0,30.73,183.79,11.33,29.16
9,550079,N2 S&P500 버퍼10% 12월 ETN(H),5,120,14,44,54,1.0,10.0,30.73,0.0,16.45,19.68
9,550073,N2 iSelect-WG 그린에너지 ESG ETN,5,120,14,44,54,1.0,10.0,30.73,0.0,11.28,22.17
9,570047,한투 FTSE100 ETN,5,120,14,44,54,1.0,10.0,30.73,0.0,17.11,15.64
9,550062,N2 레버리지 금 선물 ETN(H),5,120,14,44,54,1.0,10.0,30.73,101.32,14.64,27.82
9,530014,삼성 China A50 선물 ETN(H),5,120,14,44,54,1.0,10.0,30.73,0.62,6.95,20.42
9,530016,삼성 미국 대형 가치주 ETN(H),5,120,14,44,54,1.0,10.0,30.73,81.07,9.95,20.94
9,610021,메리츠 인버스 2X 국채10년 ETN,5,120,14,44,54,1.0,10.0,30.73,0.0,5.51,14.73
9,530020,삼성 미국 대형 가치주 ETN,5,120,14,44,54,1.0,10.0,30.73,40.19,11.91,19.58
9,530015,삼성 미국 대형 성장주 ETN(H),5,120,14,44,54,1.0,10.0,30.73,57.0,12.63,21.37
9,570071,한투 구리 선물 ETN,5,120,14,44,54,1.0,10.0,30.73,0.0,9.94,20.42
