Cluster,Symbol,Name,MA_Short_Window,MA_Long_Window,RSI_Window,RSI_Buy_Threshold,RSI_Sell_Threshold,Stop_Loss_Percent,Take_Profit_Percent,Average_Return,Symbol_sim_return,Return,Std Dev
96,CVCO.O,카브코 인더스트리스,5,60,14,44,54,1.0,10.0,92.03,597.32,28.25,42.41
96,PPC.O,필그림즈 프라이드,5,60,14,44,54,1.0,10.0,92.03,104.71,24.67,40.36
96,FIZZ.O,내셔널 베버리지,5,60,14,44,54,1.0,10.0,92.03,83.82,25.83,39.42
96,STEP.O,스텝스톤 그룹,5,60,14,44,54,1.0,10.0,92.03,16.31,26.45,39.62
96,OLLI.O,올리스 바겐 아웃렛 홀딩스,5,60,14,44,54,1.0,10.0,92.03,84.94,30.56,43.48
96,ACHC.O,아카디아 헬스케어,5,60,14,44,54,1.0,10.0,92.03,-2.17,25.36,41.46
96,CACC.O,크레디트 억셉턴스,5,60,14,44,54,1.0,10.0,92.03,148.23,27.45,38.73
96,NSIT.O,인사이트 엔터프라이지즈,5,60,14,44,54,1.0,10.0,92.03,55.62,29.16,36.06
96,JAZZ.O,재즈 파마슈티컬스,5,60,14,44,54,1.0,10.0,92.03,6.22,27.11,36.25
96,UFPI.O,UFP 인더스트리,5,60,14,44,54,1.0,10.0,92.03,98.08,26.05,36.85
96,AAON.O,에이에이온,5,60,14,44,54,1.0,10.0,92.03,1376.61,27.62,36.07
96,HQY.O,헬스에퀴티,5,60,14,44,54,1.0,10.0,92.03,175.75,29.39,45.24
96,PCTY.O,페일로시티 홀딩,5,60,14,44,54,1.0,10.0,92.03,6.66,30.35,44.4
96,CGNX.O,코그넥스,5,60,14,44,54,1.0,10.0,92.03,6.71,27.32,38.45
96,CHK.O,체사피크 에너지,5,60,14,44,54,1.0,10.0,92.03,0.0,27.75,36.93
96,TAYD.O,테일러 디바이시스,5,60,14,44,54,1.0,10.0,92.03,25.78,25.81,40.76
96,PODD.O,인슐릿,5,60,14,44,54,1.0,10.0,92.03,33.75,30.32,41.04
96,ZBRA.O,지브라 테크놀로지스,5,60,14,44,54,1.0,10.0,92.03,6.68,27.32,36.12
96,EXPE.O,익스피디아그룹,5,60,14,44,54,1.0,10.0,92.03,15.12,25.26,41.63
96,SWKS.O,스카이웍스 솔루션스,5,60,14,44,54,1.0,10.0,92.03,20.59,23.5,40.6
