Cluster,Symbol,Name,MA_Short_Window,MA_Long_Window,RSI_Window,RSI_Buy_Threshold,RSI_Sell_Threshold,Stop_Loss_Percent,Take_Profit_Percent,Average_Return,Symbol_sim_return,Return,Std Dev
20,PFE,화이자,5,120,14,44,54,1.0,10.0,345.04,11.7,7.4,21.81
20,XOM,엑슨 모빌,5,120,14,44,54,1.0,10.0,345.04,-2.75,8.17,25.3
20,EQR,에퀴티 레지덴셜,5,120,14,44,54,1.0,10.0,345.04,17.22,7.27,23.89
20,BAX,박스터 인터내셔널,5,120,14,44,54,1.0,10.0,345.04,-21.99,5.66,23.23
20,ZBH,짐머 바이오멧 홀딩스,5,120,14,44,54,1.0,10.0,345.04,32.41,8.3,25.68
20,SJM,J.M.스머커,5,120,14,44,54,1.0,10.0,345.04,4.97,6.7,21.24
20,FE,퍼스트에너지,5,120,14,44,54,1.0,10.0,345.04,9.83,3.43,23.93
20,ETR,엔터지,5,120,14,44,54,1.0,10.0,345.04,18.37,5.02,21.58
20,EIX,에디슨 인터내셔널,5,120,14,44,54,1.0,10.0,345.04,15.35,9.06,23.92
20,TAP,몰슨 쿠어스 베버리지 Class B,5,120,14,44,54,1.0,10.0,345.04,-5.21,4.65,26.4
20,K,켈라노바,5,120,14,44,54,1.0,10.0,345.04,12.14,2.6,19.68
20,WTW.O,윌리스 타워스 왓슨,5,120,14,44,54,1.0,10.0,345.04,12402.64,7.98,22.85
20,CPB,캠벨 수프,5,120,14,44,54,1.0,10.0,345.04,2.19,4.08,21.88
20,FRT,페더럴 리얼티 인베스트먼트 트러스트,5,120,14,44,54,1.0,10.0,345.04,15.67,6.28,26.42
20,L,로우스,5,120,14,44,54,1.0,10.0,345.04,12.18,8.56,23.48
20,IBM,인터내셔날 비지니스 머신,5,120,14,44,54,1.0,10.0,345.04,4.95,5.17,22.36
20,CSCO.O,시스코 시스템즈,5,120,14,44,54,1.0,10.0,345.04,40.04,8.99,25.95
20,AVB,아발론베이 커뮤니티,5,120,14,44,54,1.0,10.0,345.04,15.02,8.13,23.47
