Cluster,Symbol,Name,MA_Short_Window,MA_Long_Window,RSI_Window,RSI_Buy_Threshold,RSI_Sell_Threshold,Stop_Loss_Percent,Take_Profit_Percent,Average_Return,Symbol_sim_return,Return,Std Dev
26,453870,TIGER 인도니프티50,5,60,14,29,54,1.0,10.0,0.0,0,34.12,12.89
26,449770,KOSEF 미국S&P500,5,120,14,34,74,1.0,10.0,0.0,0,34.0,11.73
26,471460,히어로즈 국고채30년액티브,5,120,14,34,64,1.0,10.0,0.0,0,30.64,10.2
26,453870,TIGER 인도니프티50,5,120,14,34,69,1.0,10.0,0.0,0,34.12,12.89
26,453810,KODEX 인도Nifty50,5,120,14,34,69,1.0,10.0,0.0,0,35.03,13.21
26,472170,TIGER 미국테크TOP10채권혼합,5,120,14,34,69,1.0,10.0,0.0,0,34.32,9.94
26,480030,ACE 미국500 15%프리미엄분배(합성),5,120,14,34,69,1.0,10.0,0.0,0,35.67,9.98
26,449770,KOSEF 미국S&P500,5,120,14,34,69,1.0,10.0,0.0,0,34.0,11.73
26,520066,미래에셋 KRX금현물 Auto-KO-C 2810-01 ETN,5,120,14,34,69,1.0,10.0,0.0,0,33.87,15.5
26,453650,KODEX 미국S&P500금융,5,120,14,34,69,1.0,10.0,0.0,0,36.72,14.78
26,476030,SOL 미국나스닥100,5,120,14,34,69,1.0,10.0,0.0,0,33.87,15.0
26,465670,TIGER 미국캐시카우100,5,120,14,34,69,1.0,10.0,0.0,0,29.95,13.82
26,478150,TIMEFOLIO 글로벌우주테크&방산액티브,5,120,14,34,69,1.0,10.0,0.0,0,37.07,13.78
26,530112,삼성 S&P500 ETN,5,120,14,34,69,1.0,10.0,0.0,0,32.07,10.06
26,463690,KODEX 미국S&P500커뮤니케이션,5,120,14,34,69,1.0,10.0,0.0,0,33.85,15.34
26,471460,히어로즈 국고채30년액티브,5,120,14,34,69,1.0,10.0,0.0,0,30.64,10.2
26,453870,TIGER 인도니프티50,5,120,14,34,74,1.0,10.0,0.0,0,34.12,12.89
26,453810,KODEX 인도Nifty50,5,120,14,34,74,1.0,10.0,0.0,0,35.03,13.21
26,472170,TIGER 미국테크TOP10채권혼합,5,120,14,34,74,1.0,10.0,0.0,0,34.32,9.94
26,463690,KODEX 미국S&P500커뮤니케이션,5,120,14,34,64,1.0,10.0,0.0,0,33.85,15.34
26,530112,삼성 S&P500 ETN,5,120,14,34,64,1.0,10.0,0.0,0,32.07,10.06
26,478150,TIMEFOLIO 글로벌우주테크&방산액티브,5,120,14,34,64,1.0,10.0,0.0,0,37.07,13.78
26,471460,히어로즈 국고채30년액티브,5,120,14,34,59,1.0,10.0,0.0,0,30.64,10.2
26,520066,미래에셋 KRX금현물 Auto-KO-C 2810-01 ETN,5,120,14,34,59,1.0,10.0,0.0,0,33.87,15.5
26,453650,KODEX 미국S&P500금융,5,120,14,34,59,1.0,10.0,0.0,0,36.72,14.78
26,476030,SOL 미국나스닥100,5,120,14,34,59,1.0,10.0,0.0,0,33.87,15.0
26,465670,TIGER 미국캐시카우100,5,120,14,34,59,1.0,10.0,0.0,0,29.95,13.82
26,478150,TIMEFOLIO 글로벌우주테크&방산액티브,5,120,14,34,59,1.0,10.0,0.0,0,37.07,13.78
26,530112,삼성 S&P500 ETN,5,120,14,34,59,1.0,10.0,0.0,0,32.07,10.06
