Cluster,Symbol,Name,MA_Short_Window,MA_Long_Window,RSI_Window,RSI_Buy_Threshold,RSI_Sell_Threshold,Stop_Loss_Percent,Take_Profit_Percent,Average_Return,Symbol_sim_return,Return,Std Dev
64,IGV,iShares Expanded Tech-Software Sector ETF,5,120,14,34,54,1.0,10.0,43.18,15.08,13.8,31.75
64,PXE,Invesco Energy Exploration & Production ETF,5,120,14,34,54,1.0,10.0,43.18,196.76,11.23,34.53
64,BTEC.O,Principal Healthcare Innovators ETF,5,120,14,34,54,1.0,10.0,43.18,0.0,10.96,30.64
64,EZJ,ProShares Ultra MSCI Japan,5,120,14,34,54,1.0,10.0,43.18,27.76,11.39,34.52
64,LOUP.K,Innovator Deepwater Frontier Tech ETF,5,120,14,34,54,1.0,10.0,43.18,0.0,15.04,30.97
64,TINY.K,ProShares Nanotechnology ETF,5,120,14,34,54,1.0,10.0,43.18,0.0,13.65,30.24
64,PXI.O,Invesco Dorsey Wright Energy Momentum ETF,5,120,14,34,54,1.0,10.0,43.18,112.96,10.42,34.39
64,EBIZ.O,Global X E-commerce ETF,5,120,14,34,54,1.0,10.0,43.18,10.1,12.84,30.04
64,GOAU.K,US Global GO GOLD and Precious Metal Miners ETF,5,120,14,34,54,1.0,10.0,43.18,188.21,13.52,33.81
64,SBIO.K,ALPS Medical Breakthroughs ETF,5,120,14,34,54,1.0,10.0,43.18,11.32,11.01,34.39
64,OGIG.K,ALPS O'Shares Global Internet Giants ETF,5,120,14,34,54,1.0,10.0,43.18,35.68,12.53,32.46
64,UGA,United States Gasoline Fund LP,5,120,14,34,54,1.0,10.0,43.18,-3.68,11.33,34.55
64,PTH.O,Invesco Dorsey Wright Healthcare Momentum ETF,5,120,14,34,54,1.0,10.0,43.18,24.04,11.48,30.66
64,IPDP.K,Dividend Performers ETF,5,120,14,34,54,1.0,10.0,43.18,0.0,15.4,31.02
64,PSCT.O,Invesco S&P SmallCap Information Tech ETF,5,120,14,34,54,1.0,10.0,43.18,-1.13,11.85,29.81
64,PTF.O,Invesco Dorsey Wright Technology Momentum ETF,5,120,14,34,54,1.0,10.0,43.18,28.28,15.12,32.45
64,CLOU.O,Global X Cloud Computing ETF,5,120,14,34,54,1.0,10.0,43.18,0.0,10.76,31.06
64,FTXN.O,First Trust NASDAQ Oil & Gas ETF,5,120,14,34,54,1.0,10.0,43.18,176.82,11.56,32.82
64,QCLN.O,First Trust NASDAQ Clean Edge Green Energy Idx Fd,5,120,14,34,54,1.0,10.0,43.18,8.78,12.2,31.82
