Cluster,Symbol,Name,Current_Price,Expected_Annual_Return,Current_RSI,Current_MA_Short,Current_MA_Long,MA_Short_Window,MA_Long_Window,RSI_Window,RSI_Buy_Threshold,RSI_Sell_Threshold,Stop_Loss_Percent,Take_Profit_Percent,Return,Std Dev
22,WBD.O,워너 브로스 디스커버리,8.67,58314.21,33.94,8.18,7.79,5,60,14,34,64,1.0,10.0,-26.68,54.43
11,HUM,휴마나,387.38,205.05,43.01,391.65,349.54,5,120,14,44,54,1.0,10.0,21.45,29.56
19,FMC,FMC,57.82,32.27,34.67,59.4,58.91,5,120,14,39,54,1.0,10.0,11.09,30.91
13,KMX,카맥스,80.01,19.12,47.21,82.15,72.27,5,60,14,49,54,1.0,10.0,17.95,35.81
13,LKQ.O,LKQ,45.09,15.39,41.43,45.15,42.9,5,60,14,49,54,1.0,10.0,16.94,31.7
20,PFE,화이자,29.97,14.29,36.14,29.66,27.61,5,120,14,44,54,1.0,10.0,7.66,21.81
13,TRMB.O,트림블,55.98,13.95,48.91,57.46,56.59,5,60,14,49,54,1.0,10.0,16.51,34.07
20,D,도미니언 에너지,51.41,13.27,41.08,51.47,49.35,5,120,14,44,54,1.0,10.0,3.89,20.92
20,K,켈라노바,57.96,12.89,43.84,57.82,57.32,5,120,14,44,54,1.0,10.0,2.79,19.69
13,CRL,찰스 리버 래보라토리스 인터내셔널,218.24,12.66,46.19,220.71,217.54,5,60,14,49,54,1.0,10.0,19.59,31.24
17,CCI,크라운 캐슬,105.06,11.84,38.51,104.55,99.02,5,60,14,39,54,1.0,10.0,10.48,23.53
20,CAG,콘아그라 브랜즈,29.63,11.76,40.35,29.49,29.3,5,120,14,44,54,1.0,10.0,6.17,23.18
20,SJM,J.M.스머커,117.99,7.23,38.82,118.71,117.54,5,120,14,44,54,1.0,10.0,7.02,21.26
13,MKC,맥코믹 앤 컴퍼니 무의결권주,73.59,4.04,43.72,73.67,72.03,5,60,14,49,54,1.0,10.0,16.5,36.4
20,O,리얼티 인컴,57.58,1.13,42.09,57.06,53.33,5,120,14,44,54,1.0,10.0,7.54,24.32
20,ES,에버소스 에너지,61.1,-1.39,38.23,60.6,58.6,5,120,14,44,54,1.0,10.0,8.47,21.51
20,ARE,알렉산드리아 리얼에스테이트 이쿼티,125.21,-3.24,43.91,127.05,120.61,5,120,14,44,54,1.0,10.0,7.97,24.64
13,BA,보잉,179.67,-3.65,46.3,181.98,180.09,5,60,14,49,54,1.0,10.0,14.63,35.8
11,RVTY.K,레비티,108.15,-5.26,43.54,110.53,106.07,5,120,14,44,54,1.0,10.0,17.22,27.47
12,AWK,아메리칸 워터 웍스,141.16,-5.54,45.89,140.09,125.24,5,120,14,49,54,1.0,10.0,17.0,21.4
17,XEL.O,엑셀 에너지,55.94,-7.86,38.15,54.84,54.38,5,60,14,39,54,1.0,10.0,9.02,19.55
12,SBAC.O,SBA 커뮤니케이션스,209.0,-8.92,39.43,211.56,204.6,5,120,14,49,54,1.0,10.0,17.06,25.17
19,TECH.O,바이오-테크네,75.46,-9.01,34.39,77.34,72.88,5,120,14,39,54,1.0,10.0,10.46,33.8
11,CHTR.O,차터 커뮤니케이션,320.31,-11.96,39.12,324.85,286.81,5,120,14,44,54,1.0,10.0,21.0,29.37
20,UPS,유나이티드 파셀 서비스,145.18,-13.35,40.05,145.76,145.02,5,120,14,44,54,1.0,10.0,9.3,23.01
16,BIO,바이오래드 래보라토리스 Class A,296.82,-27.79,36.68,306.47,306.01,5,120,14,39,54,1.0,10.0,13.22,27.9
