Cluster,Symbol,Name,Current_Price,Expected_Annual_Return,Current_RSI,Current_MA_Short,Current_MA_Long,MA_Short_Window,MA_Long_Window,RSI_Window,RSI_Buy_Threshold,RSI_Sell_Threshold,Stop_Loss_Percent,Take_Profit_Percent,Return,Std Dev
38,071950,코아스,1060.0,66951027.5,29.76,1009.8,528.35,5,120,14,34,54,1.0,10.0,21.09,65.39
78,000300,대유플러스,241.0,395.34,31.91,241.0,235.19,5,120,14,34,54,1.0,10.0,-1.2,53.73
84,458250,TIGER 미국30년국채스트립액티브(합성 H),44075.0,91.97,43.76,44171.0,43577.12,5,120,14,49,54,1.0,10.0,-9.86,25.66
18,580019,KB 인버스 2X 항셍테크 선물 ETN,13030.0,63.65,48.89,12465.0,11818.58,5,60,14,49,54,1.0,10.0,59.98,83.41
70,448730,삼성FN리츠,5100.0,43.28,43.23,5094.0,5058.17,5,60,14,49,54,1.0,10.0,4.46,9.34
71,004890,동일산업,43000.0,35.89,26.17,42760.0,42677.5,5,60,14,34,54,1.0,10.0,2.1,28.63
37,007110,일신석재,1485.0,9.18,38.56,1520.6,1105.77,5,60,14,39,54,1.0,10.0,24.5,60.07
37,013360,일성건설,1426.0,7.58,37.98,1439.0,1364.98,5,60,14,39,54,1.0,10.0,25.01,60.59
84,402460,HANARO Fn K-메타버스MZ,7560.0,4.62,46.18,7580.0,7190.16,5,120,14,49,54,1.0,10.0,-6.87,23.73
67,034830,한국토지신탁,1060.0,0.0,26.99,1061.0,1036.39,5,120,14,29,54,1.0,10.0,6.65,34.46
84,364970,TIGER 바이오TOP10,6685.0,-3.08,44.01,6687.0,6399.62,5,120,14,49,54,1.0,10.0,-7.0,28.18
84,401470,KODEX K-메타버스액티브,7380.0,-4.64,43.02,7450.0,7282.32,5,120,14,49,54,1.0,10.0,-7.55,26.36
84,400970,TIGER Fn메타버스,7010.0,-5.61,38.91,7058.0,6796.68,5,120,14,49,54,1.0,10.0,-7.98,27.8
84,401170,RISE 메타버스,6290.0,-6.33,37.59,6322.0,6183.0,5,120,14,49,54,1.0,10.0,-12.43,28.27
71,075180,새론오토모티브,3840.0,-7.08,30.09,3872.0,3839.58,5,60,14,34,54,1.0,10.0,3.87,27.79
47,003520,영진약품,2315.0,-11.14,33.67,2263.0,2151.42,5,60,14,34,54,1.0,10.0,19.37,50.46
84,390400,KODEX 미국스마트모빌리티S&P,6020.0,-11.8,42.4,6112.0,5613.48,5,120,14,49,54,1.0,10.0,-12.12,26.65
84,417450,RISE 글로벌수소경제,7490.0,-16.19,41.02,7705.0,7233.92,5,120,14,49,54,1.0,10.0,-7.98,27.94
28,011390,부산산업,70800.0,-16.78,36.49,59400.0,56238.33,5,120,14,39,54,1.0,10.0,38.13,63.87
84,399580,RISE 글로벌클린에너지,7100.0,-17.94,39.36,7056.0,7028.96,5,120,14,49,54,1.0,10.0,-8.89,25.62
