Cluster,Symbol,Name,Current_Price,Expected_Annual_Return,Current_RSI,Current_MA_Short,Current_MA_Long,MA_Short_Window,MA_Long_Window,RSI_Window,RSI_Buy_Threshold,RSI_Sell_Threshold,Stop_Loss_Percent,Take_Profit_Percent,Return,Std Dev
10,570058,한투 인버스 은 선물 ETN,11085.0,642707.27,43.59,10826.0,10405.58,5,60,14,44,54,1.0,10.0,10.89,34.05
10,570073,한투 인버스 2X 구리 선물 ETN,20125.0,348.19,42.79,19935.0,16756.58,5,60,14,44,54,1.0,10.0,13.93,50.48
11,530096,삼성 인버스 구리 선물 ETN(H),10420.0,308.19,43.44,10361.0,10054.12,5,120,14,44,59,1.0,10.0,4.25,23.11
11,610027,메리츠 인버스 구리 선물 ETN(H),10480.0,211.26,43.8,10432.0,10119.58,5,120,14,44,59,1.0,10.0,4.36,22.82
5,580019,KB 인버스 2X 항셍테크 선물 ETN,13795.0,58.2,48.89,13382.0,13238.54,5,120,14,49,54,1.0,10.0,62.56,83.22
9,570070,한투 인버스 2X 플래티넘 선물 ETN,16385.0,7.01,41.69,16097.0,14568.0,5,60,14,44,54,1.0,10.0,10.09,61.85
10,610029,메리츠 인버스 2X 구리 선물 ETN(H),17115.0,-10.48,39.77,16948.0,14341.33,5,60,14,44,54,1.0,10.0,4.6,45.14
10,580033,KB 인버스 2X 구리 선물 ETN(H),17065.0,-10.93,39.84,16927.0,14323.75,5,60,14,44,54,1.0,10.0,4.73,46.09
10,550070,N2 인버스 레버리지 구리 선물 ETN(H),17025.0,-11.15,39.69,16856.0,14282.83,5,60,14,44,54,1.0,10.0,5.21,46.34
9,700016,하나 S&P 인버스 2X WTI원유 선물 ETN,13720.0,-18.1,39.45,13809.0,13724.0,5,60,14,44,54,1.0,10.0,8.09,71.55
9,530100,삼성 블룸버그 인버스 2X WTI원유 선물 ETN,13590.0,-18.46,39.05,13737.0,13659.08,5,60,14,44,54,1.0,10.0,7.32,70.94
9,570079,한투 블룸버그 인버스 2X WTI원유 선물 ETN,13635.0,-18.55,39.18,13779.0,13703.58,5,60,14,44,54,1.0,10.0,7.46,71.34
9,500066,신한 블룸버그 인버스 2X WTI원유 선물 ETN,13570.0,-18.7,39.12,13715.0,13656.75,5,60,14,44,54,1.0,10.0,7.53,71.34
9,580037,KB S&P 인버스 2X WTI원유 선물 ETN,13575.0,-19.02,39.12,13727.0,13657.58,5,60,14,44,54,1.0,10.0,7.2,71.13
9,550072,N2 블룸버그 -2X WTI원유선물 ETN,13555.0,-19.26,39.19,13693.0,13658.17,5,60,14,44,54,1.0,10.0,7.05,71.29
9,520050,미래에셋 인버스 2X 원유선물혼합 ETN(H),12155.0,-23.45,37.21,12291.0,12194.08,5,60,14,44,54,1.0,10.0,-1.8,65.08
10,570066,한투 인버스 2X 베트남 VN30 선물 ETN(H),15655.0,-26.48,40.09,15538.0,15407.0,5,60,14,44,54,1.0,10.0,-0.09,42.36
9,570062,한투 인버스 2X 은 선물 ETN,12395.0,-28.85,37.63,11729.0,11161.17,5,60,14,44,54,1.0,10.0,1.02,63.24
