Cluster,Symbol,Name,Current_Price,Expected_Annual_Return,Current_RSI,Current_MA_Short,Current_MA_Long,MA_Short_Window,MA_Long_Window,RSI_Window,RSI_Buy_Threshold,RSI_Sell_Threshold,Stop_Loss_Percent,Take_Profit_Percent,Return,Std Dev
78,RSPU.K,Invesco S&P 500 Eql Wght Utilities ETF,62.66,22.81,38.05,62.17,57.99,5,120,14,44,64,1.0,10.0,5.26,22.09
79,BMVP.K,Invesco Bloomberg MVP Multi-Factor ETF,45.2935,20.2,33.52,44.79,44.12,5,120,14,34,64,1.0,10.0,6.53,25.81
56,PTH.O,Invesco Dorsey Wright Healthcare Momentum ETF,44.765,20.13,32.25,43.28,43.08,5,120,14,34,74,1.0,10.0,11.37,30.67
64,RWJ,Invesco S&P SmallCap 600 Revenue ETF,42.52,13.67,37.14,42.07,41.27,5,120,14,44,64,1.0,10.0,9.89,30.1
136,TLTW.K,iShares 20+ Year Treasury Bond BuyWrite Strat ETF,26.47,9.48,29.62,26.41,25.85,5,120,14,34,64,1.0,10.0,-17.53,14.07
95,LTPZ.K,PIMCO 15+ Year US TIPS Index Exchange-Traded Fund,55.8126,7.38,41.51,55.95,54.43,5,120,14,44,64,1.0,10.0,1.43,14.78
64,RSPH.K,Invesco S&P 500 Eql Wght Health Care ETF,30.84,5.73,23.08,30.72,30.64,5,120,14,44,64,1.0,10.0,7.63,29.45
98,UST,ProShares Ultra 7-10 Year Treasury,44.9799,1.5,43.07,45.17,42.51,5,120,14,44,64,1.0,10.0,1.67,13.16
58,UBT,ProShares Ultra 20+ Year Treasury,20.81,1.06,38.87,20.99,19.34,5,120,14,44,74,1.0,10.0,8.3,42.88
62,PSQ,ProShares Short QQQ,43.2,0.29,31.33,44.06,43.24,5,120,14,34,64,1.0,10.0,9.47,107.75
98,SPTL.K,SPDR Portfolio Long Term Treasury ETF,28.49,-0.05,43.28,28.57,27.35,5,120,14,44,64,1.0,10.0,0.85,14.02
99,TIPZ.K,PIMCO Broad US TIPS Index Exchange-Traded Fund,53.0709,-0.06,41.59,53.13,52.66,5,120,14,44,64,1.0,10.0,0.26,6.14
95,TLT.O,iShares 20+ Year Treasury Bond ETF,96.26,-0.14,42.32,96.58,92.41,5,120,14,44,64,1.0,10.0,0.97,15.33
100,IBTE.O,iShares iBonds Dec 2024 Term Treasury ETF,23.925,-0.28,39.0,23.92,23.92,5,120,14,44,64,1.0,10.0,-1.18,2.1
100,IBTF.O,iShares iBonds Dec 2025 Term Treasury ETF,23.29,-0.49,40.11,23.29,23.19,5,120,14,44,64,1.0,10.0,-1.81,3.03
98,VGLT.O,Vanguard Long-Term Treasury Index Fund;ETF,60.34,-0.61,42.99,60.53,57.96,5,120,14,44,64,1.0,10.0,0.68,13.79
99,AGZD.O,WisdomTree Interest Rate Hdg US Aggr Bd,22.23,-0.87,43.56,22.18,22.18,5,120,14,44,64,1.0,10.0,-1.01,4.3
92,IDX,VanEck Indonesia Index ETF,16.5299,-1.71,42.35,16.24,16.16,5,120,14,44,64,1.0,10.0,0.43,25.85
37,KRBN.K,KraneShares Global Carbon Strategy ETF,32.54,-2.61,43.12,32.63,32.08,5,120,14,44,64,1.0,10.0,19.09,33.09
101,SPAX.K,Robinson Alternative Yield Pre-Merger SPAC ETF,20.3627,-2.79,43.38,20.37,20.36,5,120,14,44,64,1.0,10.0,0.9,9.06
113,TUA,Simplify Short Term Treasury Futures Strategy ETF,22.56,-3.08,42.22,22.69,21.62,5,120,14,44,74,1.0,10.0,-4.97,13.29
100,BBIP.K,JPMorgan BetaBuilders US TIPS 0-5 Year ETF,97.3357,-8.25,43.15,97.37,97.36,5,120,14,44,64,1.0,10.0,-1.72,3.15
123,TAIL.K,Cambria Tail Risk ETF,12.27,-8.77,21.47,12.58,11.92,5,120,14,34,64,1.0,10.0,-8.2,14.67
134,DUG,ProShares UltraShort Energy,9.94,-8.91,33.85,10.28,9.71,5,120,14,34,74,1.0,10.0,-17.83,54.65
120,FAIL.K,Cambria Global Tail Risk ETF,17.12,-9.33,24.34,17.25,16.74,5,120,14,34,74,1.0,10.0,-8.4,21.89
113,IVOL.K,Quadratic Interest Rate Vltly and Infltn Hdg ETF,19.21,-12.95,30.63,19.31,18.83,5,120,14,44,74,1.0,10.0,-4.11,12.72
129,SH,ProShares Short S&P500 ETF,11.73,-14.17,32.48,11.93,11.89,5,120,14,34,64,1.0,10.0,-13.06,17.1
132,VIXM.K,ProShares VIX Mid-Term Futures ETF,15.46,-16.03,27.33,17.13,15.15,5,120,14,34,74,1.0,10.0,-15.47,32.82
64,RZG,Invesco S&P SmallCap 600 Pure Growth ETF,48.7488,-26.26,35.68,48.15,47.75,5,120,14,44,64,1.0,10.0,7.71,29.14
138,SDS,ProShares UltraShort S&P500,24.17,-28.32,32.01,24.98,24.87,5,120,14,44,64,1.0,10.0,-24.11,34.0
144,SDOW.K,ProShares UltraPro Short Dow30,16.21,-38.5,33.45,16.75,16.72,5,120,14,34,64,1.0,10.0,-31.05,49.0
151,HIBS.K,Direxion Daily S&P 500 High Beta Bear 3X Shares,27.02,-40.98,28.52,28.65,24.92,5,120,14,34,64,1.0,10.0,-44.97,98.58
