Cluster,Symbol,Name,Current_Price,Expected_Annual_Return,Current_RSI,Current_MA_Short,Current_MA_Long,MA_Short_Window,MA_Long_Window,RSI_Window,RSI_Buy_Threshold,RSI_Sell_Threshold,Stop_Loss_Percent,Take_Profit_Percent,Return,Std Dev
19,030960,양지사,10640.0,175.08,41.53,10870.0,10318.5,5,120,14,44,64,1.0,10.0,35.7,61.97
42,016250,SGC E&C,15860.0,68.16,30.9,16018.0,15973.75,5,120,14,34,64,1.0,10.0,11.64,40.09
16,221800,유투바이오,4385.0,42.43,32.59,4602.0,4099.17,5,120,14,34,74,1.0,10.0,47.34,95.5
23,096530,씨젠,27150.0,16.82,40.7,27890.0,22545.0,5,120,14,44,64,1.0,10.0,33.66,56.69
12,060260,뉴보텍,2120.0,8.62,30.16,2189.0,693.37,5,120,14,44,74,1.0,10.0,63.06,151.09
23,068330,일신바이오,1471.0,6.92,37.38,1491.4,1329.62,5,120,14,44,64,1.0,10.0,30.65,60.24
34,065420,에스아이리소스,273.0,2.58,27.7,282.2,232.56,5,120,14,34,64,1.0,10.0,16.92,64.92
51,182400,엔케이맥스,2020.0,0.0,33.74,2020.0,2006.18,5,120,14,34,64,1.0,10.0,5.46,61.25
46,018120,진로발효,15970.0,-6.8,37.11,15902.0,15272.33,5,120,14,44,64,1.0,10.0,2.27,18.52
44,053950,경남제약,1119.0,-7.47,28.44,1213.6,1166.69,5,120,14,34,64,1.0,10.0,6.39,62.08
30,083550,케이엠,4705.0,-9.14,33.33,4422.0,4142.04,5,120,14,34,64,1.0,10.0,18.37,50.15
53,215380,우정바이오,1635.0,-15.79,31.05,1583.6,1567.93,5,120,14,34,64,1.0,10.0,-0.01,55.69
55,950200,소마젠,4750.0,-16.05,36.87,4812.0,4701.92,5,120,14,44,64,1.0,10.0,-8.7,64.7
55,092190,서울바이오시스,4395.0,-18.27,40.21,4277.0,3468.21,5,120,14,44,64,1.0,10.0,-4.08,59.9
33,084990,헬릭스미스,4305.0,-21.89,32.6,4291.0,4047.67,5,120,14,34,64,1.0,10.0,19.41,61.47
55,331920,셀레믹스,8780.0,-23.1,33.36,5691.0,3912.29,5,120,14,44,64,1.0,10.0,-7.61,64.54
55,288330,브릿지바이오테라퓨틱스,3210.0,-28.2,39.43,2701.0,2316.27,5,120,14,44,64,1.0,10.0,-6.34,69.93
52,049180,셀루메드,1795.0,-35.25,31.53,1708.8,1656.83,5,120,14,34,74,1.0,10.0,6.25,72.44
53,260660,알리코제약,5150.0,-100.0,32.79,5386.0,5022.83,5,120,14,34,64,1.0,10.0,-4.11,51.1
63,419530,SAMG엔터,11880.0,-100.0,29.76,12724.0,12432.83,5,120,14,34,64,1.0,10.0,-18.36,65.33
