Cluster,Symbol,Name,Current_Price,Expected_Annual_Return,Current_RSI,Current_MA_Short,Current_MA_Long,MA_Short_Window,MA_Long_Window,RSI_Window,RSI_Buy_Threshold,RSI_Sell_Threshold,Stop_Loss_Percent,Take_Profit_Percent,Return,Std Dev
170,NUTX.O,뉴텍스 헬스,15.25,3669112113.23,14.45,13.32,8.97,5,120,14,34,64,1.0,10.0,-77.03,147.22
139,ORGN.O,오리진 머터리얼즈,1.43,940.42,32.16,1.04,0.83,5,120,14,34,64,1.0,10.0,-14.51,88.73
120,CSLR.O,컴플리트 솔라리아,1.62,285.65,24.47,1.58,1.08,5,120,14,34,64,1.0,10.0,-0.24,109.35
26,ATMVR.O,AlphaVest Acquisition Rights Expiry 22nd December 2024,0.1379,138.33,40.86,0.14,0.1,5,120,14,44,64,1.0,10.0,285.12,180.08
83,EXAS.O,이그젝트 사이언시스,58.75,81.76,41.3,57.98,54.72,5,120,14,44,64,1.0,10.0,44.81,60.3
27,XPEL.O,엑스펠,42.32,79.52,40.92,43.98,43.23,5,120,14,44,74,1.0,10.0,274.2,146.01
113,FWRD.O,포워드 에어,28.55,68.11,30.76,26.28,23.42,5,120,14,34,64,1.0,10.0,6.57,35.25
53,ASMB.O,어셈블리 바이오사이언시스,14.3,25.24,39.08,14.07,13.96,5,120,14,44,74,1.0,10.0,136.12,302.79
94,GSUN.O,골든 선 헬스 테크놀로지 그룹,7.58,19.0,32.14,7.8,5.98,5,120,14,34,64,1.0,10.0,18.12,192.0
96,PENN.O,펜 엔터테인먼트,19.24,18.5,40.6,18.91,17.76,5,120,14,44,64,1.0,10.0,25.8,52.26
118,CCLDP.O,케어 클라우드 우선주 시리즈 A 11%,8.34,17.95,31.43,7.92,7.53,5,120,14,34,64,1.0,10.0,3.18,51.41
108,SBUX.O,스타벅스,94.81,6.27,38.28,91.3,82.34,5,120,14,44,64,1.0,10.0,19.61,27.37
101,ACHC.O,아카디아 헬스케어,74.47,5.02,42.85,73.06,71.44,5,120,14,44,64,1.0,10.0,26.45,41.58
82,NVAX.O,노바백스,12.96,4.11,43.04,12.36,10.04,5,120,14,44,64,1.0,10.0,56.14,100.82
117,PLMIU.O,Plum Acquisition I Units,11.75,0.0,32.9,11.9,10.92,5,120,14,34,64,1.0,10.0,7.53,22.72
115,PLMI.O,플럼 애퀴지션 I,10.93,0.0,32.59,10.89,10.75,5,120,14,44,64,1.0,10.0,5.05,19.01
127,MNSBP.O,메인스트리트 뱅크셰어스 우선주 시리즈 A 7.50%,23.12,-0.32,42.29,22.93,22.65,5,120,14,44,64,1.0,10.0,1.15,24.85
116,ANGI.O,앤지,2.56,-0.55,41.14,2.52,2.27,5,120,14,44,64,1.0,10.0,5.95,64.77
72,KZIA.O,카지아 테라퓨틱스 ADR,0.4,-1.19,33.75,0.39,0.33,5,120,14,34,64,1.0,10.0,76.53,148.28
93,MKTX.O,마켓액세스 홀딩스,234.0,-10.27,43.82,236.97,212.5,5,120,14,44,64,1.0,10.0,28.15,33.01
103,MLAB.O,메사 래보라토리스,129.5,-19.36,43.33,124.87,106.28,5,120,14,44,64,1.0,10.0,20.19,36.35
133,OPINL.O,오피스 프로퍼티 인컴 트러스트 선순위 채권 6.375% 만기 2050년,11.09,-19.41,31.68,11.22,10.75,5,120,14,34,64,1.0,10.0,-15.05,24.6
107,OMCL.O,옴니셀,42.55,-20.19,33.58,41.83,29.65,5,120,14,34,64,1.0,10.0,16.97,37.55
96,MTCH.O,매치 그룹,35.19,-20.72,41.64,34.67,32.82,5,120,14,44,64,1.0,10.0,24.46,47.89
116,MTLS.O,머티리얼라이즈 ADR,5.37,-25.41,39.08,5.42,5.23,5,120,14,44,64,1.0,10.0,9.36,57.68
116,COMM.O,콤스코프 홀딩,3.96,-27.68,42.25,3.43,1.47,5,120,14,44,64,1.0,10.0,6.48,60.12
140,PTLO.O,포틸로스,12.06,-31.05,30.07,11.34,11.3,5,120,14,34,64,1.0,10.0,-13.51,58.09
118,SSRM.O,SSR 마이닝,5.17,-35.0,33.52,4.92,4.92,5,120,14,34,64,1.0,10.0,7.26,54.18
30,XWEL.O,X웰,1.9308,-35.68,32.45,1.93,1.81,5,120,14,44,74,1.0,10.0,270.83,521.12
148,ACB.O,오로라 카나비스,6.98,-36.32,32.1,6.79,5.67,5,120,14,34,64,1.0,10.0,-27.1,97.13
112,ADD.O,컬러 스타 테크놀로지,0.6901,-43.18,32.77,0.74,0.26,5,120,14,34,64,1.0,10.0,3.92,135.66
138,SNOA.O,소노마 파머수티컬스,0.25,-44.79,31.69,0.24,0.21,5,120,14,34,74,1.0,10.0,-12.95,94.03
155,TWKS.O,소트웍스 홀딩,4.34,-45.77,29.01,4.33,2.86,5,120,14,34,64,1.0,10.0,-36.06,63.45
148,IKNA.O,아이케나 온콜로지,1.71,-46.07,32.46,1.68,1.53,5,120,14,34,64,1.0,10.0,-24.55,101.85
152,CMMB.O,키모맵 테라퓨틱스 ADR,1.11,-47.09,27.29,1.05,0.91,5,120,14,34,74,1.0,10.0,-47.6,108.05
148,JG.O,오로라 모바일 ADR,3.5,-48.14,32.26,3.59,3.02,5,120,14,34,64,1.0,10.0,-24.06,86.72
92,CPTN.O,셉톤,3.06,-50.57,14.09,3.04,2.77,5,120,14,34,64,1.0,10.0,16.39,243.52
146,PULM.O,풀매트릭스,2.03,-52.5,32.0,2.22,1.96,5,120,14,34,64,1.0,10.0,-20.29,106.09
51,AXDX.O,엑셀러레이트 다이아그노스틱스,1.8,-63.47,30.29,1.73,1.11,5,120,14,34,64,1.0,10.0,151.57,256.54
111,LPSN.O,라이브퍼슨,1.38,-71.58,30.31,1.31,0.87,5,120,14,34,64,1.0,10.0,11.33,64.57
11,MGOL.O,MGO 글로벌,5.17,-97.54,31.78,5.29,4.07,5,120,14,34,64,1.0,10.0,449.47,391.72
0,ASNS.O,악텔리스 네트웍스,1.3,-99.52,32.11,1.31,1.16,5,120,14,34,64,1.0,10.0,587.05,485.34
136,ZAPP.O,잽 일렉트릭 비이클스 그룹,5.16,-99.57,15.65,6.05,4.82,5,120,14,34,64,1.0,10.0,6.97,209.09
148,HOUR.O,아워 루프,1.27,-99.98,33.65,1.29,1.1,5,120,14,34,64,1.0,10.0,-23.01,95.66
9,RGC.O,리젠셀 바이오사이언스 홀딩스,8.42,-99.98,42.71,9.47,5.46,5,120,14,44,74,1.0,10.0,476.02,277.69
