Cluster,Symbol,Name,Current_Price,Expected_Annual_Return,Current_RSI,Current_MA_Short,Current_MA_Long,MA_Short_Window,MA_Long_Window,RSI_Window,RSI_Buy_Threshold,RSI_Sell_Threshold,Stop_Loss_Percent,Take_Profit_Percent,Return,Std Dev
24,300950,KODEX 게임산업,7180.0,5.7,43.25,7198.0,6883.81,5,120,14,44,64,1.0,10.0,-0.2,29.63
24,300610,TIGER K게임,7545.0,3.67,42.13,7626.0,7549.36,5,120,14,44,64,1.0,10.0,1.16,30.48
26,306520,HANARO 200선물인버스,9585.0,2.05,42.21,9877.0,9632.83,5,120,14,44,64,1.0,10.0,-5.45,20.03
26,123310,TIGER 인버스,4635.0,-2.14,41.99,4772.0,4659.67,5,120,14,44,64,1.0,10.0,-3.8,17.65
26,114800,KODEX 인버스,4150.0,-2.42,41.88,4272.0,4160.42,5,120,14,44,64,1.0,10.0,-4.0,17.76
26,145670,ACE 인버스,5170.0,-2.62,42.43,5317.0,5173.67,5,120,14,44,64,1.0,10.0,-3.7,17.01
25,261270,KODEX 미국달러선물인버스,8345.0,-3.77,39.31,8309.0,8306.79,5,120,14,44,74,1.0,10.0,-2.01,8.11
25,292560,TIGER 일본엔선물,8655.0,-5.37,40.85,8789.0,8453.88,5,120,14,44,74,1.0,10.0,-1.72,10.36
26,304660,KODEX 미국30년국채울트라선물(H),8375.0,-5.44,42.08,8333.0,7951.25,5,120,14,44,64,1.0,10.0,-1.63,16.34
26,253240,KOSEF 200선물인버스,5380.0,-5.94,41.93,5538.0,5381.88,5,120,14,44,64,1.0,10.0,-6.31,18.64
26,252410,RISE 200선물인버스,5325.0,-6.05,41.77,5482.0,5329.04,5,120,14,44,64,1.0,10.0,-6.5,18.26
26,267490,RISE 미국장기국채선물레버리지(합성 H),6620.0,-11.01,39.75,6576.0,6111.33,5,120,14,44,64,1.0,10.0,-3.55,21.68
