ticker,name,cluster,ma_short_window,ma_long_window,rsi_window,rsi_buy_threshold,rsi_sell_threshold,stop_loss_percent,take_profit_percent,Best Annual Returns
000300,대유플러스,78,5,120,14,34.0,54.0,1.0,10.0,4.934219647843277
610027,메리츠 인버스 구리 선물 ETN(H),67,5,60,14,39.0,54.0,1.0,10.0,3.720081330697578
530096,삼성 인버스 구리 선물 ETN(H),67,5,60,14,39.0,54.0,1.0,10.0,3.3975530281735367
002760,보락,51,5,60,14,34.0,54.0,1.0,10.0,3.0764044730011184
580019,KB 인버스 2X 항셍테크 선물 ETN,18,5,60,14,49.0,54.0,1.0,10.0,0.682434400263725
009580,무림P&P,62,5,120,14,44.0,54.0,1.0,10.0,0.45794013692673174
134790,시디즈,48,5,60,14,34.0,54.0,1.0,10.0,0.13133981314836518
013870,지엠비코리아,62,5,120,14,44.0,54.0,1.0,10.0,0.08649199313241884
014790,HL D&I,80,5,120,14,34.0,54.0,1.0,10.0,0.0772424806707821
005500,삼진제약,56,5,60,14,34.0,54.0,1.0,10.0,0.00983354878645848
034300,신세계건설,62,5,120,14,44.0,54.0,1.0,10.0,-0.004187869283912127
610022,메리츠 미국채10년 ETN(H),76,5,60,14,39.0,54.0,1.0,10.0,-0.0366185801635357
267440,KBSTAR 미국장기국채선물(H),76,5,60,14,39.0,54.0,1.0,10.0,-0.03953131915539543
304660,KODEX 미국30년국채울트라선물(H),74,5,120,14,39.0,54.0,1.0,10.0,-0.08647887196226278
010960,삼호개발,62,5,120,14,44.0,54.0,1.0,10.0,-0.09133632488088461
003520,영진약품,40,5,120,14,39.0,54.0,1.0,10.0,-0.13050725605092706
520052,미래에셋 천연가스 선물 ETN(H),102,5,60,14,24.0,54.0,1.0,10.0,-0.3511234562843978
550074,N2 블룸버그 2X 천연가스 선물 ETN(H),107,5,60,14,24.0,54.0,1.0,10.0,-0.7506833163954698
