ticker,name,cluster,ma_short_window,ma_long_window,rsi_window,rsi_buy_threshold,rsi_sell_threshold,stop_loss_percent,take_profit_percent,Best Annual Returns
570058,한투 인버스 은 선물 ETN,10,5,60,14,44.0,54.0,1.0,10.0,6427.072721590936
570073,한투 인버스 2X 구리 선물 ETN,10,5,60,14,44.0,54.0,1.0,10.0,3.4818688533645137
530096,삼성 인버스 구리 선물 ETN(H),11,5,120,14,44.0,59.0,1.0,10.0,3.0818814515161046
610027,메리츠 인버스 구리 선물 ETN(H),11,5,120,14,44.0,59.0,1.0,10.0,2.11255135994815
580019,KB 인버스 2X 항셍테크 선물 ETN,5,5,120,14,49.0,54.0,1.0,10.0,0.5820115652389297
570070,한투 인버스 2X 플래티넘 선물 ETN,9,5,60,14,44.0,54.0,1.0,10.0,0.07007347856363211
610029,메리츠 인버스 2X 구리 선물 ETN(H),10,5,60,14,44.0,54.0,1.0,10.0,-0.10477857261629453
580033,KB 인버스 2X 구리 선물 ETN(H),10,5,60,14,44.0,54.0,1.0,10.0,-0.10931845862476708
550070,N2 인버스 레버리지 구리 선물 ETN(H),10,5,60,14,44.0,54.0,1.0,10.0,-0.11150071904051351
700016,하나 S&P 인버스 2X WTI원유 선물 ETN,9,5,60,14,44.0,54.0,1.0,10.0,-0.180951625053972
530100,삼성 블룸버그 인버스 2X WTI원유 선물 ETN,9,5,60,14,44.0,54.0,1.0,10.0,-0.1845873507071174
570079,한투 블룸버그 인버스 2X WTI원유 선물 ETN,9,5,60,14,44.0,54.0,1.0,10.0,-0.18552101530715248
500066,신한 블룸버그 인버스 2X WTI원유 선물 ETN,9,5,60,14,44.0,54.0,1.0,10.0,-0.18698817080145325
580037,KB S&P 인버스 2X WTI원유 선물 ETN,9,5,60,14,44.0,54.0,1.0,10.0,-0.19017021970616976
550072,N2 블룸버그 -2X WTI원유선물 ETN,9,5,60,14,44.0,54.0,1.0,10.0,-0.19255371333523041
520050,미래에셋 인버스 2X 원유선물혼합 ETN(H),9,5,60,14,44.0,54.0,1.0,10.0,-0.2345447842703814
570066,한투 인버스 2X 베트남 VN30 선물 ETN(H),10,5,60,14,44.0,54.0,1.0,10.0,-0.2648234604316281
570062,한투 인버스 2X 은 선물 ETN,9,5,60,14,44.0,54.0,1.0,10.0,-0.2884600247717264
