ticker,name,cluster,ma_short_window,ma_long_window,rsi_window,rsi_buy_threshold,rsi_sell_threshold,stop_loss_percent,take_profit_percent,Best Annual Returns
TSL.O,GraniteShares 1.25x Long TSLA Daily ETF,138,5,120,14,39.0,64.0,1.0,10.0,3.8323322230621057
SPAX.K,Robinson Alternative Yield Pre-Merger SPAC ETF,102,5,120,14,39.0,54.0,1.0,10.0,3.194752753157795
EVAV.K,Direxion Daily Electric & Autonms Vhcls Bl 2X Shs,156,5,60,14,29.0,54.0,1.0,10.0,1.4484219995683847
RFG,Invesco S&P MidCap 400 Pure Growth ETF,87,5,120,14,39.0,54.0,1.0,10.0,0.44894040842779037
URTY.K,ProShares UltraPro Russell2000,23,5,120,14,49.0,54.0,1.0,10.0,0.4484747667100888
XLG,Invesco S&P 500 Top 50 ETF,73,5,60,14,29.0,54.0,1.0,10.0,0.4044305930555119
PSCH.O,Invesco S&P SmallCap Health Care ETF,73,5,60,14,29.0,54.0,1.0,10.0,0.37493426180201106
PEY.O,Invesco High Yield Equity Dividend Achvrs ETF,74,5,60,14,49.0,54.0,1.0,10.0,0.3719392964315338
MARB.K,First Trust Merger Arbitrage ETF,105,5,120,14,44.0,54.0,1.0,10.0,0.32471410304505977
PSI,Invesco Semiconductors ETF,47,5,120,14,49.0,54.0,1.0,10.0,0.314747925278974
RSPT.K,Invesco S&P 500 Eql Wght Technology ETF,64,5,120,14,34.0,54.0,1.0,10.0,0.29889788341815926
RPG,Invesco S&P 500 Pure Growth ETF,73,5,60,14,29.0,54.0,1.0,10.0,0.28378324397500143
PTH.O,Invesco Dorsey Wright Healthcare Momentum ETF,64,5,120,14,34.0,54.0,1.0,10.0,0.24037654234107309
TNA,Direxion Daily Small Cap Bull 3x Shares,29,5,60,14,49.0,64.0,1.0,10.0,0.239108087984079
BMVP.K,Invesco Bloomberg MVP Multi-Factor ETF,90,5,120,14,39.0,54.0,1.0,10.0,0.22392665331855466
RSPU.K,Invesco S&P 500 Eql Wght Utilities ETF,88,5,60,14,39.0,54.0,1.0,10.0,0.22101337755832584
PRF,Invesco FTSE RAFI US 1000 ETF,87,5,120,14,39.0,54.0,1.0,10.0,0.21374378757283718
PRFZ.O,Invesco FTSE RAFI US 1500 Small Mid ETF,87,5,120,14,39.0,54.0,1.0,10.0,0.20720934022820514
RSPH.K,Invesco S&P 500 Eql Wght Health Care ETF,73,5,60,14,29.0,54.0,1.0,10.0,0.1958145006293266
CDC.O,VictoryShares US EQ Income Enh Vol Wtd Idx ETF,76,5,60,14,49.0,54.0,1.0,10.0,0.18163649672362636
LBAY.K,Leatherback Long/Short Alternative Yield ETF,76,5,60,14,49.0,54.0,1.0,10.0,0.17308019985037326
RYLG.K,Global X Russell 2000 Covered Call & Growth ETF,100,5,60,14,49.0,54.0,1.0,10.0,0.17199105355440758
PSCC.O,Invesco S&P SmallCap Consumer Staples ETF,80,5,60,14,39.0,54.0,1.0,10.0,0.13399673052727068
RSPM.K,Invesco S&P 500 Eql Wght Materials ETF,87,5,120,14,39.0,54.0,1.0,10.0,0.1314711748744306
TUA,Simplify Short Term Treasury Futures Strategy ETF,120,5,60,14,34.0,54.0,1.0,10.0,0.11405588727268157
XONE.K,BondBloxx Bloomberg 1 Yr Tgt Duration US Trsy ETF,104,5,120,14,44.0,54.0,1.0,10.0,0.09235397931858769
RWO,SPDR Dow Jones Global Real Estate ETF,91,5,60,14,49.0,54.0,1.0,10.0,0.08451014222129039
FIAX.K,Nicholas Fixed Income Alternative ETF,113,5,60,14,39.0,69.0,1.0,10.0,0.08410955025844302
JUCY.K,Aptus Enhanced Yield ETF,113,5,60,14,39.0,69.0,1.0,10.0,0.08176724608244812
SCHY.K,Schwab International Dividend Equity ETF,100,5,60,14,49.0,54.0,1.0,10.0,0.07671706392706512
DTRE.K,First Trust Alerian Disruptive Technology Real Est,91,5,60,14,49.0,54.0,1.0,10.0,0.07547934204249995
BBIP.K,JPMorgan BetaBuilders US TIPS 0-5 Year ETF,113,5,60,14,39.0,69.0,1.0,10.0,0.06689290981533169
XTWO.K,BondBloxx Bloomberg 2 Yr Tgt Duration US Trsy ETF,104,5,120,14,44.0,54.0,1.0,10.0,0.06601682539410225
BBSB.K,JPMorgan BetaBuilders US Treasury Bond 1-3 Yr ETF,104,5,120,14,44.0,54.0,1.0,10.0,0.06242784480967001
IDLV.K,Invesco S&P Intl Developed Low Volatility ETF,100,5,60,14,49.0,54.0,1.0,10.0,0.053512658495163734
HDMV.K,First Trust Horizon Managed Vol Dev Intl ETF,100,5,60,14,49.0,54.0,1.0,10.0,0.03618862144711632
KOLD.K,ProShares UltraShort Bloomberg Natural Gas,33,5,60,14,44.0,54.0,1.0,10.0,0.03552096246485115
JRE,Janus Henderson US Real Estate ETF,107,5,120,14,49.0,54.0,1.0,10.0,0.03191230796300126
