ticker,name,cluster,ma_short_window,ma_long_window,rsi_window,rsi_buy_threshold,rsi_sell_threshold,stop_loss_percent,take_profit_percent,Best Annual Returns
FMC,FMC,18,5,120,14,39.0,54.0,1.0,10.0,0.3959112391925588
PODD.O,인슐릿,6,5,120,14,49.0,54.0,1.0,10.0,0.3783846279962688
CMCSA.O,컴캐스트,15,5,120,14,49.0,54.0,1.0,10.0,0.35012968053018745
HSY,허쉬,15,5,120,14,49.0,54.0,1.0,10.0,0.2330710439340724
HSIC.O,헨리 셰인,15,5,120,14,49.0,54.0,1.0,10.0,0.19757843784238815
BDX,벡톤 디킨슨 앤 코,15,5,120,14,49.0,54.0,1.0,10.0,0.09343639168251316
TECH.O,바이오-테크네,18,5,120,14,39.0,54.0,1.0,10.0,-0.040142313900579096
MKTX.O,마켓액세스 홀딩스,8,5,60,14,44.0,54.0,1.0,10.0,-0.041284129559562066
CCI,크라운 캐슬,15,5,120,14,49.0,54.0,1.0,10.0,-0.1461690046128289
PAYC.K,페이콤 소프트웨어,5,5,60,14,39.0,54.0,1.0,10.0,-0.3471638755033094
