ticker,name,cluster,ma_short_window,ma_long_window,rsi_window,rsi_buy_threshold,rsi_sell_threshold,stop_loss_percent,take_profit_percent,Best Annual Returns
030960,양지사,19,5,120,14,44.0,64.0,1.0,10.0,1.7507674341133925
016250,SGC E&C,42,5,120,14,34.0,64.0,1.0,10.0,0.6815610503895926
221800,유투바이오,16,5,120,14,34.0,74.0,1.0,10.0,0.424347172511345
096530,씨젠,23,5,120,14,44.0,64.0,1.0,10.0,0.1681984551884259
060260,뉴보텍,12,5,120,14,44.0,74.0,1.0,10.0,0.08622638579764796
068330,일신바이오,23,5,120,14,44.0,64.0,1.0,10.0,0.06918448146207501
065420,에스아이리소스,34,5,120,14,34.0,64.0,1.0,10.0,0.02577699240302489
182400,엔케이맥스,51,5,120,14,34.0,64.0,1.0,10.0,0.0
018120,진로발효,46,5,120,14,44.0,64.0,1.0,10.0,-0.06801923541959853
053950,경남제약,44,5,120,14,34.0,64.0,1.0,10.0,-0.07474476708078714
083550,케이엠,30,5,120,14,34.0,64.0,1.0,10.0,-0.09136414959471073
215380,우정바이오,53,5,120,14,34.0,64.0,1.0,10.0,-0.1579084127677577
950200,소마젠,55,5,120,14,44.0,64.0,1.0,10.0,-0.1604544360693696
092190,서울바이오시스,55,5,120,14,44.0,64.0,1.0,10.0,-0.1827485200024751
084990,헬릭스미스,33,5,120,14,34.0,64.0,1.0,10.0,-0.21892538478507884
331920,셀레믹스,55,5,120,14,44.0,64.0,1.0,10.0,-0.23103233966383685
288330,브릿지바이오테라퓨틱스,55,5,120,14,44.0,64.0,1.0,10.0,-0.28599591654793477
049180,셀루메드,52,5,120,14,34.0,74.0,1.0,10.0,-0.35246127057354437
260660,알리코제약,53,5,120,14,34.0,64.0,1.0,10.0,-0.9999999934123648
419530,SAMG엔터,63,5,120,14,34.0,64.0,1.0,10.0,-0.9999750342844944
