ticker,name,cluster,ma_short_window,ma_long_window,rsi_window,rsi_buy_threshold,rsi_sell_threshold,stop_loss_percent,take_profit_percent,Best Annual Returns
NUTX.O,뉴텍스 헬스,172,5,120,14,34.0,64.0,1.0,10.0,169.91819435019926
CSLR.O,컴플리트 솔라리아,131,5,120,14,34.0,74.0,1.0,10.0,2.9794881724787756
GDEV.O,GDEV,132,5,120,14,34.0,64.0,1.0,10.0,2.218368697789919
EPOW.O,선라이즈 뉴 에너지,130,5,120,14,44.0,64.0,1.0,10.0,3.4536952905510496
ERII.O,에너지 리커버리,83,5,120,14,44.0,74.0,1.0,10.0,1.476751738312414
ATMVR.O,AlphaVest Acquisition Rights Expiry 22nd December 2024,24,5,120,14,44.0,64.0,1.0,10.0,1.2339314546200097
PRE.O,프레네틱스 글로벌,166,5,120,14,34.0,64.0,1.0,10.0,0.9593257389567176
XPEL.O,엑스펠,26,5,120,14,44.0,74.0,1.0,10.0,0.8430244629243646
GSUN.O,골든 선 헬스 테크놀로지 그룹,97,5,120,14,34.0,64.0,1.0,10.0,0.2998297847128022
HFBL.O,홈 페더럴 뱅코프 오브 루이지아나,105,5,120,14,44.0,64.0,1.0,10.0,0.25502615946664786
PENN.O,펜 엔터테인먼트,93,5,120,14,44.0,64.0,1.0,10.0,0.17243955339961126
AUPH.O,오리니아 파마슈티컬스,74,5,120,14,44.0,64.0,1.0,10.0,0.13206247933984683
MASI.O,마시모,105,5,120,14,44.0,64.0,1.0,10.0,0.09327014289297986
SBUX.O,스타벅스,98,5,120,14,44.0,64.0,1.0,10.0,0.05791735241253426
ACHC.O,아카디아 헬스케어,95,5,120,14,44.0,64.0,1.0,10.0,0.043702512720326325
PLMIU.O,Plum Acquisition I Units,113,5,120,14,44.0,64.0,1.0,10.0,0.03371427986123976
HOUR.O,아워 루프,146,5,120,14,34.0,64.0,1.0,10.0,0.0
KZIA.O,카지아 테라퓨틱스 ADR,70,5,120,14,34.0,64.0,1.0,10.0,-0.037477710637982664
MKTX.O,마켓액세스 홀딩스,91,5,120,14,44.0,64.0,1.0,10.0,-0.08794555721690478
BDSX.O,바이오데식스,130,5,120,14,44.0,64.0,1.0,10.0,-0.10303776296987754
RTC.O,푸웨이 필름스,60,5,120,14,44.0,64.0,1.0,10.0,-0.14518792391217195
OPINL.O,오피스 프로퍼티 인컴 트러스트 선순위 채권 6.375% 만기 2050년,134,5,120,14,34.0,74.0,1.0,10.0,-0.16732949553673349
PYPL.O,페이팔 홀딩스,105,5,120,14,44.0,64.0,1.0,10.0,-0.17181999276702697
CHR.O,치어 홀딩,139,5,120,14,34.0,64.0,1.0,10.0,-0.20479671001190436
OMCL.O,옴니셀,105,5,120,14,44.0,64.0,1.0,10.0,-0.2162569161068918
MLAB.O,메사 래보라토리스,95,5,120,14,44.0,64.0,1.0,10.0,-0.21652329985934715
MTCH.O,매치 그룹,93,5,120,14,44.0,64.0,1.0,10.0,-0.2227322568996014
BILI.O,빌리빌리 ADR,83,5,120,14,44.0,74.0,1.0,10.0,-0.2702966811876172
MDRR.O,메달리스트 다이버시파이드 릿츠,130,5,120,14,44.0,64.0,1.0,10.0,-0.2948191896993828
AXDX.O,엑셀러레이트 다이아그노스틱스,48,5,120,14,44.0,64.0,1.0,10.0,-0.3554053784433163
XWEL.O,X웰,29,5,120,14,44.0,74.0,1.0,10.0,-0.35603863675022973
SDOT.O,사돗 그룹,130,5,120,14,44.0,64.0,1.0,10.0,-0.35132365266894194
ACB.O,오로라 카나비스,146,5,120,14,34.0,64.0,1.0,10.0,-0.36985247478670613
COSM.O,코스모스 헬스,133,5,120,14,34.0,64.0,1.0,10.0,-0.4153878720494507
ADD.O,컬러 스타 테크놀로지,108,5,120,14,34.0,64.0,1.0,10.0,-0.42666828393956624
SNOA.O,소노마 파머수티컬스,135,5,120,14,34.0,74.0,1.0,10.0,-0.45058392117826673
TWKS.O,소트웍스 홀딩,153,5,120,14,34.0,64.0,1.0,10.0,-0.459666750946371
IKNA.O,아이케나 온콜로지,146,5,120,14,34.0,64.0,1.0,10.0,-0.467848184571073
JG.O,오로라 모바일 ADR,139,5,120,14,34.0,64.0,1.0,10.0,-0.47918597028779775
CPTN.O,셉톤,116,5,120,14,34.0,64.0,1.0,10.0,-0.5089641832128844
PULM.O,풀매트릭스,144,5,120,14,34.0,64.0,1.0,10.0,-0.5194478815404078
YYAI.O,코넥사 스포츠 테크놀로지스,148,5,120,14,34.0,64.0,1.0,10.0,-0.5707194621121543
LPSN.O,라이브퍼슨,109,5,120,14,34.0,64.0,1.0,10.0,-0.7192419112494681
FWRD.O,포워드 에어,112,5,120,14,34.0,64.0,1.0,10.0,-0.8274774921859128
MGOL.O,MGO 글로벌,10,5,120,14,34.0,64.0,1.0,10.0,-0.9764765548217555
ZAPP.O,잽 일렉트릭 비이클스 그룹,97,5,120,14,34.0,64.0,1.0,10.0,-0.9858702841059033
ASNS.O,악텔리스 네트웍스,2,5,120,14,34.0,64.0,1.0,10.0,-0.9967479781303705
RGC.O,리젠셀 바이오사이언스 홀딩스,6,5,120,14,44.0,64.0,1.0,10.0,-0.9995669424114738
