ticker,name,cluster,ma_short_window,ma_long_window,rsi_window,rsi_buy_threshold,rsi_sell_threshold,stop_loss_percent,take_profit_percent,Best Annual Returns
300950,KODEX 게임산업,24,5,120,14,44.0,64.0,1.0,10.0,0.05696051767300192
300610,TIGER K게임,24,5,120,14,44.0,64.0,1.0,10.0,0.03674756203157736
306520,HANARO 200선물인버스,26,5,120,14,44.0,64.0,1.0,10.0,0.0204581374381565
123310,TIGER 인버스,26,5,120,14,44.0,64.0,1.0,10.0,-0.021366471660074215
114800,KODEX 인버스,26,5,120,14,44.0,64.0,1.0,10.0,-0.024225871780927166
145670,ACE 인버스,26,5,120,14,44.0,64.0,1.0,10.0,-0.026160356838967558
261270,KODEX 미국달러선물인버스,25,5,120,14,44.0,74.0,1.0,10.0,-0.037701106640781856
292560,TIGER 일본엔선물,25,5,120,14,44.0,74.0,1.0,10.0,-0.05366158742759897
304660,KODEX 미국30년국채울트라선물(H),26,5,120,14,44.0,64.0,1.0,10.0,-0.05440630248326417
253240,KOSEF 200선물인버스,26,5,120,14,44.0,64.0,1.0,10.0,-0.05936848821125462
252410,RISE 200선물인버스,26,5,120,14,44.0,64.0,1.0,10.0,-0.06048948843740343
267490,RISE 미국장기국채선물레버리지(합성 H),26,5,120,14,44.0,64.0,1.0,10.0,-0.11014119984024329
